Benchmark_Set,Kernel,DRAM_BANDWIDTH_UTIL,REGISTER_USAGE,SHARED_USAGE,OCCUPANCY,FP16,FMA,FP64,ALU,SPU,Tensor,Ld/St
Resnet50 Training & Resnet50 Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_,99.05031539888682,71.23415352504641,53.09439475319604,110.05752319109467,0.0,62.71511750154606,0.0,13.564848484848476,0.0018181818181818184,0.0,39.295998763141625
Resnet50 Training & Resnet50 Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & volta_scudnn_128x64_stridedB_splitK_interior_nn_v1,34.49575757575757,84.39212121212122,121.94772808652938,42.19606060606061,0.0,89.28181818181815,0.0,7.608181818181819,0.9851515151515152,0.0,38.35878787878788
Resnet50 Training & GNMT Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & turing_fp16_s884gemm_fp16_128x64_ldg8_f2f_nn,46.060143540669856,86.2889907296651,103.08807896372237,37.48114832535886,0.0,57.87848484848483,0.0,7.00274322169059,0.6676076555023926,42.56236842105263,37.63448963317384
Resnet50 Training & GNMT Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & kernelReduceAllPass1,46.65640798226162,82.3830917405765,64.88262646051311,119.28858093126388,0.0,65.0753141167775,0.0,18.489238728750927,7.5079157427937915,0.0,30.95456023651145
Resnet50 Training & GNMT Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & LSTM_elementWise_fp,66.53232444202507,98.67784227000546,53.09439475319604,107.02464344039194,2.8847305389221547,73.87626927962255,0.0,19.38862093993829,13.261758301578658,0.0,39.532360733079294
Resnet50 Training & GNMT Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & transpose_kernel,94.55631313131312,81.06852746212124,76.42169944069605,115.46439393939397,0.0,64.20904040404038,0.0,12.129848484848488,0.0018181818181818184,0.0,62.30823232323232
Resnet50 Training & GNMT Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & _ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIN3c104HalfEEEvRNS_14TensorIteratorENS4_6ScalarEEUlS5_S5_E_EEvS7_RKT_EUliE0_EEviT1_,71.49242424242422,72.53295454545456,53.09439475319604,115.25272727272727,4.760000000000002,74.71404040404039,0.0,33.41707070707072,9.522929292929291,0.0,38.70989898989899
Resnet50 Training & Rodinia,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & nn,40.96909090909091,71.71795454545456,53.09439475319604,111.99272727272728,0.0,65.79848484848483,0.0,8.274848484848487,2.491818181818182,0.0,33.21212121212121
Resnet50 Training & Rodinia,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & huffman,25.458768308799215,76.59008201410106,66.95402545362134,104.98846922817137,0.0,68.90591558065364,0.0,24.97009479895179,0.0018181818181818184,0.0,53.044587533063904
Resnet50 Training & Rodinia,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & backprop,42.57601934961835,89.31962430540574,54.466354588697904,120.83800131040522,0.0,63.31463814421178,67.68417331536496,10.552694624628174,6.433417089404259,0.0,42.45537452255678
Resnet50 Training & Rodinia,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & pathfinder,56.66309090909092,72.49445454545457,64.35889475319604,115.09872727272727,0.0,66.62248484848483,0.0,29.636848484848482,0.0018181818181818184,0.0,68.37212121212121
Resnet50 Training & Rodinia,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1 & srad,55.98581657294736,92.4655464057469,55.11370524411914,121.24232173773268,0.0,70.98379799395371,67.91941883926971,19.502391070127807,5.398514912911915,0.0,46.79093278716982
Resnet50 Training & Resnet50 Training,bn_bw_1C11_kernel_new & volta_scudnn_128x64_stridedB_splitK_interior_nn_v1,99.21780303030303,92.69487334280302,70.97063735499528,103.93810606060606,0.0,42.689469696969695,0.0,11.989469696969698,2.9040151515151518,0.0,27.278939393939396
Resnet50 Training & GNMT Training,bn_bw_1C11_kernel_new & turing_fp16_s884gemm_fp16_128x64_ldg8_f2f_nn,110.78218899521531,94.5917428603469,52.110988232188255,99.2231937799043,0.0,11.286136363636363,0.0,11.384031100478467,2.586471291866029,42.56236842105263,26.55464114832536
Resnet50 Training & Arioc,bn_bw_1C11_kernel_new & baseCountJs_Kernel,82.59780303030303,92.21091500946969,2.117304021661932,138.44699494949495,0.0,11.180580808080807,0.0,9.006691919191919,1.9206818181818184,0.0,12.42449494949495
Resnet50 Training & Arioc,bn_bw_1C11_kernel_new & baseAlignG_Kernel1,93.47955741626794,93.14412772876793,2.7879948111356163,108.18687799043062,0.0,29.981399521531102,0.0,58.08297846889951,1.9206818181818184,0.0,23.56332535885167
Resnet50 Training & Arioc,bn_bw_1C11_kernel_new & baseLoadJs_KernelD,83.29391414141415,78.63695667613635,2.117304021661932,151.9047727272727,0.0,11.235580808080808,0.0,9.086136363636363,1.9206818181818184,0.0,12.321161616161616
Resnet50 Training & Arioc,bn_bw_1C11_kernel_new & baseMaxV_Kernel,87.72502525252526,89.84476917613635,2.8190054105508207,109.17921717171717,0.0,34.927803030303025,0.04555555555555557,68.7116919191919,1.9734595959595962,0.0,29.148383838383836
