Benchmark_Set,Kernel,DRAM_BANDWIDTH_UTIL,REGISTER_USAGE,SHARED_USAGE,OCCUPANCY,FP16,FMA,FP64,ALU,SPU,Tensor,Ld/St
Resnet50 Training,volta_scudnn_128x128_stridedB_splitK_interior_nn_v1,16.699090909090906,49.96545454545456,53.09439475319604,24.98272727272728,0.0,57.69848484848483,0.0,4.534848484848486,0.0018181818181818184,0.0,23.24212121212121
Resnet50 Training,bn_bw_1C11_kernel_new,81.42113636363636,58.26820667613636,2.117304021661932,86.72477272727272,0.0,11.106136363636363,0.0,8.916136363636364,1.9206818181818184,0.0,12.162272727272727
Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_,82.35122448979592,21.268698979591846,0.0,85.07479591836739,0.0,5.016632653061229,0.0,9.02999999999999,0.0,0.0,16.05387755102042
Resnet50 Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_,24.447603448275892,14.447896551724131,0.0,57.791586206896525,0.0,2.1304310344827617,0.0,2.409017241379312,0.0,0.0,5.6043103448275975
Resnet50 Training,volta_scudnn_128x128_stridedB_splitK_small_nn_v1,14.306923076923075,94.51538461538462,94.51538461538462,47.25769230769231,0.0,87.72000000000001,0.0,8.062307692307693,2.738461538461539,0.0,35.80692307692308
Resnet50 Training,volta_scudnn_128x64_relu_interior_nn_v1,55.99214285714285,90.95642857142856,90.95642857142856,45.47821428571427,0.0,87.79964285714284,0.0,12.130714285714287,2.7664285714285706,0.0,44.73964285714286
Resnet50 Training,bn_fw_tr_1C11_kernel_NCHW,75.31090909090908,53.35241477272727,0.7502683327414772,85.36386363636362,0.0,13.12068181818182,0.0,8.089318181818182,4.192727272727273,0.0,14.180227272727272
Resnet50 Training,volta_scudnn_128x128_stridedB_interior_nn_v1,33.91454545454545,92.4518181818182,92.4518181818182,46.2259090909091,0.0,88.1231818181818,0.0,9.633636363636363,0.022272727272727274,0.0,38.38409090909091
Resnet50 Training,volta_scudnn_128x64_relu_small_nn_v1,9.78,79.64363636363636,79.64363636363636,39.82181818181818,0.0,92.31636363636363,0.0,9.726363636363637,5.768181818181818,0.0,41.45090909090909
Resnet50 Training,volta_scudnn_128x64_stridedB_small_nn_v1,7.858000000000001,46.658,93.316,23.329,0.0,91.015,0.0,10.398,5.6880000000000015,0.0,41.471
Resnet50 Training,dgrad2d_alg1_1,11.066666666666668,85.21906249999998,71.68822516025641,69.92333333333333,0.0,46.32333333333333,0.0,16.01,0.8466666666666667,0.0,32.82333333333333
Resnet50 Training,volta_scudnn_128x128_relu_interior_nn_v1,41.18999999999999,94.3675,94.3675,47.18375,0.0,91.27875,0.0,6.8987500000000015,0.020000000000000004,0.0,36.6625
Resnet50 Training,volta_scudnn_128x64_stridedB_interior_nn_v1,50.89454545454546,47.974545454545456,95.94909090909091,23.987272727272728,0.0,81.74181818181819,0.0,9.745454545454548,2.5590909090909086,0.0,39.525454545454544
Resnet50 Training,dgrad_engine,18.906666666666666,84.69890625000002,53.7446875,65.31,0.0,64.35333333333334,0.0,3.8733333333333335,0.0,0.0,30.5
Resnet50 Training,volta_scudnn_128x128_relu_small_nn_v1,7.952000000000001,86.69200000000001,86.69200000000001,43.346000000000004,0.0,97.17200000000001,0.0,6.827999999999999,3.04,0.0,37.33800000000001
Resnet50 Training,volta_scudnn_128x64_stridedB_splitK_medium_nn_v1,14.566666666666668,48.72666666666667,97.45333333333332,24.36333333333333,0.0,69.61333333333333,0.0,8.903333333333334,4.35,0.0,32.07
Resnet50 Training,volta_scudnn_128x128_stridedB_splitK_xregs_large_nn_v1,8.29,62.5,53.125,25.0,0.0,86.66,0.0,7.66,2.71,0.0,33.52
Resnet50 Training,volta_scudnn_128x64_stridedB_splitK_interior_nn_v1,17.796666666666667,34.42666666666667,68.85333333333334,17.213333333333335,0.0,31.58333333333333,0.0,3.0733333333333337,0.9833333333333334,0.0,15.116666666666667
Resnet50 Training,volta_scudnn_128x128_stridedB_small_nn_v1,6.656666666666666,92.8,92.8,46.4,0.0,96.71,0.0,7.91,3.02,0.0,38.08000000000001
GNMT Training,turing_fp16_s884gemm_fp16_64x64_sliced1x4_ldg8_f2f_nn,36.64179611650487,61.273015776698855,69.40660194174738,17.351650485436846,0.0962378640776698,1.398737864077671,0.0,3.938131067961165,0.6777184466019367,29.89216019417478,15.746407766990284
GNMT Training,kernelPointwiseApply3,43.82577777777777,17.563987345679017,0.0,68.17288888888892,0.04588888888888889,7.380333333333331,0.0,2.3007777777777783,1.741,0.0,10.142111111111106
GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SA_EUliE_EEviT1_,40.58779411764707,16.274227941176473,0.0,65.09691176470591,0.0,3.7000000000000006,0.0,3.6917647058823535,0.0,0.0,8.874411764705881
GNMT Training,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_nt,28.9075,80.56729687499998,88.14199999999998,22.035499999999995,0.516,1.1215000000000002,0.0,3.1020000000000003,2.25,20.307000000000002,14.5185
GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_,43.77760869565218,16.872173913043472,0.0,67.48869565217389,0.0,3.2880434782608687,0.0,3.8269565217391297,0.0,0.0,8.76108695652174
GNMT Training,volta_fp16_sgemm_fp16_128x128_nt,47.174285714285716,84.31271205357143,91.45785714285714,45.72892857142857,0.0,43.40785714285714,0.0,12.279642857142855,14.583571428571432,0.0,38.79607142857143
GNMT Training,turing_fp16_s884gemm_fp16_64x128_ldg8_f2f_nn,15.509375,26.953125,37.890625,12.5,0.0,0.05000000000000001,0.0,2.203125,0.18000000000000002,47.0825,15.203749999999996
GNMT Training,turing_fp16_s884gemm_fp16_128x64_ldg8_f2f_nn,29.361052631578946,36.32353618421053,49.993684210526325,12.498421052631581,0.0,0.17999999999999994,0.0,2.467894736842104,0.6657894736842108,42.56236842105263,14.39236842105263
GNMT Training,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_nn,6.84,91.40625,100.0,25.0,0.0,0.01,0.0,1.39,0.04,24.68,10.87
GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIN3c104HalfEEEvRNS_14TensorIteratorENS4_6ScalarEEUlS5_S5_E_EEvS7_RKT_EUliE_EEviT1_,44.8308064516129,17.590645161290322,0.0,70.36258064516129,3.782096774193548,6.627741935483869,0.0,6.62274193548387,7.563870967741936,0.0,15.146290322580644
GNMT Training,kernelPointwiseApply2,31.318999999999992,16.332404427083336,0.0,60.24633333333333,0.027000000000000003,7.381666666666665,0.0,5.054666666666665,2.790166666666667,0.0,7.971166666666668
GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17div_constant_implIfEEvRNS_14TensorIteratorET_EUlfE_EEvS5_RKS6_EUliE_EEviT1_,41.7059090909091,16.417386363636368,0.0,65.66954545454547,0.0,3.756363636363636,0.0,3.749318181818182,0.0,0.0,9.011136363636359
GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SC_EUliE_EEviT1_,41.78068181818181,16.411136363636366,0.0,65.64454545454545,0.0,3.767272727272727,0.0,4.526590909090907,0.0,0.0,9.052045454545457
GNMT Training,_ZN2at4cuda75_GLOBAL__N__51_tmpxft_00005b8f_00000000_10_Copy_compute_75_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN75_GLOBAL__N__51_tmpxft_00005b8f_00000000_10_Copy_compute_75_cpp1_ii_dd3fb9a36CopyOpIN3c104HalfEfE5applyERNS_6TensorERKS8_EUlRS6_RKfE_S6_fjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSH_IT1_SJ_EESJ_T_,37.71999999999999,15.950568181818182,0.0,63.80227272727273,0.0,6.953181818181821,0.0,7.829318181818182,3.4722727272727285,0.0,10.448409090909088
GNMT Training,_ZN2at4cuda75_GLOBAL__N__51_tmpxft_00005b8f_00000000_10_Copy_compute_75_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN75_GLOBAL__N__51_tmpxft_00005b8f_00000000_10_Copy_compute_75_cpp1_ii_dd3fb9a36CopyOpIfN3c104HalfEE5applyERNS_6TensorERKS8_EUlRfRKS6_E_fS6_jLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSH_IT1_SJ_EESJ_T_,37.38977272727273,16.283920454545452,0.0,65.13568181818181,0.9038636363636364,7.2356818181818205,0.0,8.147499999999999,0.0,0.0,10.873863636363637
GNMT Training,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,57.84,90.2728125,98.76,24.69,0.0,0.39,0.0,3.02,1.44,22.97,13.94
GNMT Training,kernelReduceAllPass1,29.957317073170714,32.41763719512195,11.788231707317074,94.30585365853659,0.0,7.376829268292679,0.0,13.95439024390244,7.5060975609756095,0.0,7.7124390243902425
GNMT Training,LSTM_elementWise_fp,49.83323353293416,48.712387724550894,0.0,82.04191616766467,2.8847305389221547,16.177784431137713,0.0,14.853772455089803,13.259940119760476,0.0,16.290239520958085
GNMT Training,transpose_kernel,77.85722222222222,31.10307291666667,23.3273046875,90.48166666666668,0.0,6.5105555555555545,0.0,7.5950000000000015,0.0,0.0,39.06611111111111
GNMT Training,cunn_SoftMaxBackward,45.195,24.288359375,8.448125000000001,67.58500000000001,0.19,7.91,0.0,10.015,7.25,0.0,9.965
