pair_str,config,gpusim_version,jobId,tot_runtime,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,sp_busy,dp_busy,int_busy,tensor_busy,sfu_busy,regs,smem,runtime,instructions,l2_bw,barrier_cycles,inst_empty_cycles,branch_cycles,scoreboard_cycles,stall_sp_cycles,stall_dp_cycles,stall_int_cycles,stall_tensor_cycles,stall_sfu_cycles,stall_mem_cycles,not_selected_cycles,cycles_per_issue,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:32:0_SM,commit_892f4_modified_0,1072166,3088480,5335,0,69451,1.0000,0.1828,0,0,10238,0,40358,27042929,27239083,112402450,228392960,0.170392,0.000000,0.017629,0.000000,0.000471,32,516,[[] [3088478] [] ],[[] [6133492736] [] ],[[] [0.1201] [] ],[[] [0.79] [] ],[[] [0.56] [] ],[[] [0.01] [] ],[[] [6.77] [] ],[[] [0.87] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [5.16] [] ],[[] [15.16] [] ],[[] [225] [] ],[[] [14] [] ],[[] [7] [] ],[[] [8] [] ],[0.09959 0.1092 0.1081 0.1003 0.1074 0.1074 0.1092 0.1092 0.1 0.1092 0.09816 0.1092 0.1092 0.1029 0.1092 0.1092 0.1714 0.2 0.15 0.1579 0.2 0.172 0.1143 0.128 0.1148 0.1076 0.1224 0.1182 0.1224 0.1224 0.1224 0.1224],[1.035e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.38e-05 1.035e-05 6.899e-06 1.035e-05 1.035e-05 6.899e-06 6.899e-06 6.899e-06 6.899e-06 1.035e-05 1.035e-05 1.035e-05 1.035e-05 1.035e-05 1.035e-05 1.035e-05 1.035e-05],[0.791667 0.750000 0.781250 0.781250 0.781250 0.750000 0.656250 0.656250 0.781250 0.656250 0.562500 0.687500 0.656250 0.781250 0.687500 0.656250 0.500000 0.250000 0.500000 0.541667 0.250000 0.500000 0.750000 0.750000 0.791667 0.833333 0.583333 0.666667 0.583333 0.583333 0.583333 0.583333],[2319002 2318964 2318964 2318965 2318965 2318964 2318963 2318965 2318967 2318963 2318939 2318965 2318964 2318965 2318964 2318963 2319022 2319034 2318998 2318998 2319034 2319035 2319038 2319040 2319003 2319003 2319000 2319001 2318999 2318999 2318999 2318999],[2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088 2319088]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:48:0_SM,commit_892f4_modified_0,1072168,2224806,7755,0,103302,1.0000,0.1380,0,0,13564,0,60611,35009339,39185049,116164173,228392960,0.236539,0.000000,0.024473,0.000000,0.000654,32,516,[[] [2224804] [] ],[[] [6133492736] [] ],[[] [0.2208] [] ],[[] [1.22] [] ],[[] [0.59] [] ],[[] [0.01] [] ],[[] [6.77] [] ],[[] [0.88] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [4.05] [] ],[[] [14.53] [] ],[[] [233] [] ],[[] [24] [] ],[[] [7] [] ],[[] [7] [] ],[0.1116 0.1217 0.1245 0.124 0.1003 0.1194 0.128 0.128 0.1009 0.1245 0.09816 0.1092 0.1039 0.1049 0.106 0.1067 0.1538 0.1553 0.1387 0.1091 0.2 0.1616 0.1778 0.1322 0.1455 0.15 0.1446 0.1326 0.142 0.1538 0.1371 0.1538],[1.437e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.916e-05 1.437e-05 9.578e-06 1.437e-05 1.437e-05 9.578e-06 9.578e-06 9.578e-06 9.578e-06 1.437e-05 1.437e-05 1.437e-05 1.437e-05 1.437e-05 1.437e-05 1.437e-05 1.437e-05],[0.791667 0.687500 0.718750 0.687500 0.843750 0.718750 0.562500 0.656250 0.812500 0.593750 0.593750 0.718750 0.750000 0.781250 0.781250 0.781250 0.833333 0.875000 0.583333 0.833333 0.250000 0.875000 0.625000 0.750000 0.750000 0.583333 0.541667 0.500000 0.791667 0.583333 0.666667 0.708333],[1670483 1670446 1670445 1670447 1670448 1670446 1670443 1670444 1670448 1670445 1670421 1670446 1670449 1670447 1670447 1670447 1670511 1670522 1670482 1670485 1670516 1670522 1670520 1670520 1670483 1670481 1670479 1670480 1670484 1670483 1670482 1670482],[1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570 1670570]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:64:0_SM,commit_892f4_modified_0,1072170,1676942,9113,0,138200,1.0000,0.1108,0,0,16896,0,81140,42280870,50079395,108054563,228392960,0.313817,0.000000,0.032469,0.000000,0.000868,32,516,[[] [1676940] [] ],[[] [6133492736] [] ],[[] [0.3650] [] ],[[] [1.53] [] ],[[] [0.62] [] ],[[] [0.00] [] ],[[] [6.87] [] ],[[] [0.87] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [3.19] [] ],[[] [14.10] [] ],[[] [241] [] ],[[] [41] [] ],[[] [7] [] ],[[] [10] [] ],[0.1356 0.1788 0.1684 0.1711 0.1641 0.1561 0.1768 0.1768 0.16 0.1531 0.1212 0.1576 0.129 0.129 0.1151 0.1176 0.186 0.2 0.1589 0.1589 0.2 0.2 0.2 0.2 0.1558 0.1589 0.1538 0.1589 0.1589 0.1589 0.1558 0.1589],[1.906e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 2.541e-05 1.906e-05 1.271e-05 1.906e-05 1.906e-05 1.271e-05 1.271e-05 1.271e-05 1.271e-05 1.906e-05 1.906e-05 1.906e-05 1.906e-05 1.906e-05 1.906e-05 1.906e-05 1.906e-05],[0.583333 0.562500 0.625000 0.531250 0.625000 0.593750 0.500000 0.593750 0.593750 0.656250 0.406250 0.468750 0.500000 0.468750 0.656250 0.656250 0.500000 0.250000 0.333333 0.333333 0.250000 0.250000 0.250000 0.250000 0.500000 0.333333 0.583333 0.375000 0.375000 0.416667 0.458333 0.333333],[1259099 1259083 1259085 1259084 1259086 1259086 1259085 1259085 1259086 1259087 1259036 1259058 1259060 1259061 1259063 1259062 1259121 1259134 1259096 1259096 1259134 1259134 1259134 1259134 1259098 1259096 1259099 1259097 1259097 1259097 1259098 1259096],[1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188 1259188]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:56:0_SM,commit_892f4_modified_0,1072169,2008879,8234,0,114904,1.0000,0.1229,0,0,15232,0,70866,40077242,48150608,115737644,228392960,0.261963,0.000000,0.027104,0.000000,0.000725,32,516,[[] [2008877] [] ],[[] [6133492736] [] ],[[] [0.2747] [] ],[[] [1.37] [] ],[[] [0.61] [] ],[[] [0.00] [] ],[[] [6.89] [] ],[[] [0.87] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [3.48] [] ],[[] [14.23] [] ],[[] [231] [] ],[[] [34] [] ],[[] [7] [] ],[[] [8] [] ],[0.1379 0.1435 0.1306 0.1172 0.1123 0.1092 0.1111 0.1221 0.1172 0.1074 0.1172 0.126 0.1074 0.1275 0.1265 0.1056 0.1538 0.1633 0.127 0.1509 0.1633 0.1441 0.1538 0.1538 0.1356 0.1379 0.127 0.1237 0.1364 0.1341 0.1311 0.1304],[1.591e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 2.121e-05 1.591e-05 1.061e-05 1.591e-05 1.591e-05 1.061e-05 1.061e-05 1.061e-05 1.061e-05 1.591e-05 1.591e-05 1.591e-05 1.591e-05 1.591e-05 1.591e-05 1.591e-05 1.591e-05],[0.458333 0.718750 0.781250 0.718750 0.781250 0.656250 0.750000 0.687500 0.812500 0.781250 0.437500 0.562500 0.718750 0.531250 0.687500 0.718750 0.791667 0.625000 0.583333 0.541667 0.500000 0.812500 0.625000 0.812500 0.708333 0.625000 0.583333 0.583333 0.666667 0.583333 0.708333 0.708333],[1508343 1508332 1508309 1508310 1508311 1508309 1508311 1508311 1508311 1508311 1508284 1508308 1508310 1508307 1508309 1508311 1508371 1508383 1508345 1508343 1508383 1508383 1508382 1508384 1508346 1508345 1508347 1508345 1508346 1508345 1508347 1508347],[1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434 1508434]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:24:0_SM,commit_892f4_modified_0,1072165,4067878,3808,0,50368,1.0000,0.2183,0,0,8574,0,30380,23129593,22197694,113342673,228392960,0.129368,0.000000,0.013385,0.000000,0.000358,32,516,[[] [4067876] [] ],[[] [6133492736] [] ],[[] [0.0764] [] ],[[] [0.55] [] ],[[] [0.55] [] ],[[] [0.01] [] ],[[] [6.77] [] ],[[] [0.85] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [5.67] [] ],[[] [15.40] [] ],[[] [218] [] ],[[] [13] [] ],[[] [7] [] ],[[] [7] [] ],[0.09959 0.1092 0.1119 0.1085 0.1039 0.1092 0.1092 0.1131 0.1026 0.1092 0.09816 0.107 0.09786 0.1092 0.1092 0.1067 0.1176 0.1221 0.1143 0.1106 0.125 0.128 0.1203 0.1032 0.1137 0.1224 0.1137 0.1021 0.1127 0.08633 0.09959 0.09959],[7.857e-06 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 1.048e-05 7.857e-06 5.238e-06 7.857e-06 7.857e-06 5.238e-06 5.238e-06 5.238e-06 5.238e-06 7.857e-06 7.857e-06 7.857e-06 7.857e-06 7.857e-06 7.857e-06 7.857e-06 7.857e-06],[0.791667 0.718750 0.812500 0.781250 0.781250 0.656250 0.718750 0.750000 0.781250 0.656250 0.562500 0.750000 0.875000 0.656250 0.687500 0.718750 0.916667 0.750000 0.791667 0.750000 0.750000 0.625000 0.750000 0.875000 0.708333 0.583333 0.791667 0.833333 0.791667 0.791667 0.833333 0.791667],[3054417 3054379 3054381 3054378 3054381 3054379 3054378 3054382 3054379 3054379 3054353 3054381 3054381 3054377 3054379 3054379 3054440 3054452 3054415 3054415 3054452 3054451 3054452 3054453 3054415 3054413 3054416 3054417 3054416 3054392 3054418 3054417],[3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502 3054502]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:16:0_SM,commit_892f4_modified_0,1072164,5886614,0,0,34623,1.0000,0.2709,0,0,6910,0,20179,18345486,15717434,114112533,228392960,0.089398,0.000000,0.009249,0.000000,0.000247,32,516,[[] [5886612] [] ],[[] [6133492736] [] ],[[] [0.0425] [] ],[[] [0.38] [] ],[[] [0.53] [] ],[[] [0.01] [] ],[[] [6.72] [] ],[[] [0.79] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.19] [] ],[[] [15.63] [] ],[[] [213] [] ],[[] [12] [] ],[[] [7] [] ],[[] [6] [] ],[0.09959 0.1092 0.1092 0.1009 0.1085 0.1085 0.1088 0.1092 0.1026 0.1092 0.1151 0.1074 0.1032 0.09756 0.1088 0.1006 0.1277 0.128 0.1043 0.09677 0.09412 0.09412 0.09412 0.09412 0.09959 0.09959 0.09959 0.09959 0.09959 0.09959 0.09959 0.09959],[5.43e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 7.24e-06 5.43e-06 3.62e-06 5.43e-06 5.43e-06 3.62e-06 3.62e-06 3.62e-06 3.62e-06 5.43e-06 5.43e-06 5.43e-06 5.43e-06 5.43e-06 5.43e-06 5.43e-06 5.43e-06],[0.791667 0.718750 0.656250 0.781250 0.718750 0.781250 0.781250 0.843750 0.812500 0.656250 0.812500 0.781250 0.843750 0.843750 0.781250 0.781250 0.916667 0.625000 0.833333 0.708333 1.000000 1.000000 1.000000 1.000000 0.791667 0.791667 0.791667 0.833333 0.791667 0.791667 0.791667 0.791667],[4420075 4420036 4420036 4420039 4420036 4420038 4420037 4420037 4420038 4420036 4420060 4420037 4420038 4420038 4420038 4420039 4420101 4420109 4420074 4420049 4420112 4420112 4420113 4420112 4420074 4420075 4420076 4420075 4420075 4420074 4420076 4420074],[4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160 4420160]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:8:0_SM,commit_892f4_modified_0,1072163,11402447,0,0,16432,1.0000,0.3579,0,0,5230,0,10092,13260072,9289290,113838966,228392960,0.046153,0.000000,0.004775,0.000000,0.000128,32,516,[[] [11402445] [] ],[[] [6133492736] [] ],[[] [0.0166] [] ],[[] [0.21] [] ],[[] [0.52] [] ],[[] [0.01] [] ],[[] [6.68] [] ],[[] [0.73] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.69] [] ],[[] [15.84] [] ],[[] [206] [] ],[[] [11] [] ],[[] [7] [] ],[[] [5] [] ],[0.09959 0.1092 0.1009 0.1003 0.1039 0.1067 0.1092 0.1 0.1019 0.1036 0.1119 0.1063 0.1063 0.1063 0.1063 0.1063 0.1043 0.09412 0.09959 0.09959 0.09412 0.09412 0.09412 0.09412 0.09959 0.09959 0.09959 0.09959 0.09959 0.09959 0.09959 0.09959],[2.803e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 3.737e-06 2.803e-06 1.869e-06 2.803e-06 2.803e-06 1.869e-06 1.869e-06 1.869e-06 1.869e-06 2.803e-06 2.803e-06 2.803e-06 2.803e-06 2.803e-06 2.803e-06 2.803e-06 2.803e-06],[0.791667 0.687500 0.843750 0.781250 0.781250 0.843750 0.656250 0.875000 0.875000 0.843750 0.781250 0.843750 0.843750 0.843750 0.875000 0.843750 1.000000 1.000000 0.791667 0.791667 1.000000 1.000000 1.000000 1.000000 0.791667 0.791667 0.791667 0.791667 0.791667 0.791667 0.791667 0.791667],[8561822 8561784 8561786 8561785 8561785 8561785 8561783 8561787 8561787 8561787 8561811 8561810 8561811 8561810 8561812 8561810 8561852 8561861 8561822 8561822 8561860 8561862 8561861 8561860 8561823 8561823 8561822 8561822 8561823 8561822 8561823 8561822],[8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908 8561908]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:40:0_SM,commit_892f4_modified_0,1072167,2589521,6979,0,81865,1.0000,0.1573,0,0,11902,0,50589,31737737,34533683,112423023,228392960,0.203224,0.000000,0.021026,0.000000,0.000562,32,516,[[] [2589519] [] ],[[] [6133492736] [] ],[[] [0.1665] [] ],[[] [0.99] [] ],[[] [0.58] [] ],[[] [0.01] [] ],[[] [6.84] [] ],[[] [0.86] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [4.66] [] ],[[] [14.93] [] ],[[] [225] [] ],[[] [15] [] ],[[] [7] [] ],[[] [7] [] ],[0.09959 0.1092 0.1081 0.1074 0.1092 0.1074 0.1085 0.1009 0.1081 0.1063 0.09384 0.1092 0.1077 0.1006 0.106 0.1063 0.15 0.1524 0.1387 0.1395 0.1739 0.1569 0.1135 0.1416 0.1326 0.1263 0.1446 0.1371 0.1188 0.1446 0.1364 0.1304],[1.234e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.646e-05 1.234e-05 8.229e-06 1.234e-05 1.234e-05 8.229e-06 8.229e-06 8.229e-06 8.229e-06 1.234e-05 1.234e-05 1.234e-05 1.234e-05 1.234e-05 1.234e-05 1.234e-05 1.234e-05],[0.791667 0.750000 0.781250 0.812500 0.656250 0.750000 0.750000 0.875000 0.843750 0.843750 0.625000 0.656250 0.843750 0.843750 0.843750 0.843750 0.750000 0.625000 0.750000 0.791667 0.812500 1.000000 1.000000 1.000000 0.500000 0.750000 0.416667 0.833333 0.791667 0.541667 0.750000 0.708333],[1944342 1944304 1944305 1944305 1944304 1944304 1944304 1944308 1944305 1944307 1944282 1944303 1944306 1944307 1944306 1944306 1944365 1944377 1944341 1944341 1944378 1944380 1944379 1944381 1944338 1944344 1944338 1944340 1944340 1944340 1944341 1944339],[1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428 1944428]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:80:0_SM,commit_892f4_modified_0,1072172,1442652,11114,0,146612,1.0000,0.0926,0,0,20224,0,101343,47974797,61396963,119317153,228392960,0.364782,0.000000,0.037742,0.000000,0.001009,32,516,[[] [1442650] [] ],[[] [6133492736] [] ],[[] [0.5078] [] ],[[] [1.04] [] ],[[] [0.66] [] ],[[] [0.00] [] ],[[] [6.75] [] ],[[] [0.82] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [2.75] [] ],[[] [13.04] [] ],[[] [243] [] ],[[] [55] [] ],[[] [7] [] ],[[] [7] [] ],[0.1446 0.1616 0.1495 0.1667 0.1468 0.1531 0.1667 0.1495 0.1461 0.1569 0.1339 0.1333 0.1495 0.1488 0.1461 0.1624 0.1846 0.1495 0.1356 0.1437 0.1212 0.1818 0.1778 0.1584 0.1379 0.129 0.1404 0.1429 0.1395 0.1446 0.1348 0.1509],[2.216e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.216e-05 1.477e-05 2.216e-05 2.216e-05 1.477e-05 1.477e-05 1.477e-05 1.477e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05],[0.750000 0.625000 0.750000 0.656250 0.812500 0.750000 0.625000 0.687500 0.812500 0.625000 0.343750 0.437500 0.781250 0.750000 0.750000 0.781250 0.916667 0.875000 0.750000 0.750000 1.000000 0.875000 0.750000 0.875000 0.500000 0.708333 0.583333 0.500000 0.625000 0.500000 0.583333 0.625000],[1083176 1083160 1083163 1083161 1083164 1083162 1083160 1083163 1083162 1083161 1083109 1083111 1083163 1083163 1083163 1083162 1083201 1083213 1083175 1083175 1083215 1083212 1083214 1083217 1083173 1083175 1083174 1083173 1083175 1083173 1083174 1083172],[1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTER_0:72:0_SM,commit_892f4_modified_0,1072171,1577222,10085,0,137337,1.0000,0.1009,0,0,18560,0,90922,44320531,53239535,110859676,228392960,0.333658,0.000000,0.034521,0.000000,0.000923,32,516,[[] [1577220] [] ],[[] [6133492736] [] ],[[] [0.4263] [] ],[[] [1.50] [] ],[[] [0.64] [] ],[[] [0.00] [] ],[[] [6.78] [] ],[[] [0.84] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [2.99] [] ],[[] [13.76] [] ],[[] [235] [] ],[[] [48] [] ],[[] [7] [] ],[[] [7] [] ],[0.1121 0.1553 0.1397 0.1311 0.1481 0.1524 0.1404 0.1592 0.1531 0.1553 0.1245 0.1194 0.1441 0.1397 0.1441 0.1345 0.1791 0.126 0.1569 0.1206 0.186 0.1333 0.2 0.1524 0.1297 0.1446 0.1589 0.1579 0.1589 0.142 0.1212 0.1341],[2.026e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.702e-05 2.026e-05 1.351e-05 2.026e-05 2.026e-05 1.351e-05 1.351e-05 1.351e-05 1.351e-05 2.026e-05 2.026e-05 2.026e-05 2.026e-05 2.026e-05 2.026e-05 2.026e-05 2.026e-05],[0.833333 0.750000 0.718750 0.812500 0.812500 0.656250 0.812500 0.781250 0.843750 0.812500 0.375000 0.562500 0.906250 0.843750 0.781250 0.875000 0.833333 0.750000 0.500000 0.666667 0.375000 0.750000 0.250000 0.500000 0.833333 0.416667 0.458333 0.625000 0.541667 0.875000 0.666667 0.666667],[1184224 1184209 1184209 1184211 1184210 1184209 1184213 1184210 1184211 1184211 1184160 1184159 1184211 1184210 1184210 1184213 1184245 1184260 1184220 1184222 1184257 1184260 1184256 1184258 1184223 1184220 1184218 1184220 1184218 1184223 1184222 1184223],[1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310 1184310]
