pair_str,config,gpusim_version,jobId,tot_runtime,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,sp_busy,dp_busy,int_busy,tensor_busy,sfu_busy,regs,smem,runtime,instructions,l2_bw,barrier_cycles,inst_empty_cycles,branch_cycles,scoreboard_cycles,stall_sp_cycles,stall_dp_cycles,stall_int_cycles,stall_tensor_cycles,stall_sfu_cycles,stall_mem_cycles,not_selected_cycles,cycles_per_issue,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:14:0_CTA-MIX_0:1:0_KIDX-NUM_0:3:0_KERNEL,commit_ccd18_modified_0,1058895,5077345,8102,0,322295562,0.9998,0.7080,0,0,13533908,415828,2035369,8516077,3961711,1232039207,374985600,0.009501,0.000000,0.187645,0.000000,0.000000,58,32,[[] [5077343] [] ],[[] [11264876160] [] ],[[] [96.5569] [] ],[[] [0.16] [] ],[[] [0.54] [] ],[[] [0.01] [] ],[[] [27.07] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.04] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.03] [] ],[[] [0.00] [] ],[[] [29.02] [] ],[[] [216] [] ],[[] [31] [] ],[[] [15] [] ],[[] [8] [] ],[0.2114 0.2136 0.2132 0.2113 0.2109 0.212 0.2118 0.2108 0.2108 0.2118 0.2111 0.2116 0.2112 0.2121 0.2121 0.2126 0.2126 0.213 0.2129 0.2115 0.2122 0.2133 0.2125 0.2125 0.2113 0.2124 0.2123 0.2121 0.2123 0.2118 0.2117 0.2123],[0.07221 0.07221 0.07221 0.07221 0.07221 0.07221 0.0722 0.07221 0.07221 0.07221 0.07221 0.07221 0.07221 0.07221 0.07221 0.07221 0.07222 0.07222 0.07222 0.07221 0.07221 0.07221 0.07222 0.07221 0.07222 0.07221 0.07221 0.07222 0.07222 0.07222 0.07222 0.07222],[0.521806 0.526914 0.527148 0.521283 0.524405 0.524575 0.521024 0.517231 0.519945 0.521848 0.521835 0.521371 0.520689 0.523519 0.521187 0.525621 0.521804 0.527417 0.527769 0.521477 0.523994 0.527179 0.525085 0.523659 0.523194 0.524185 0.521914 0.519219 0.523991 0.521919 0.523493 0.521986],[2875123 2882096 2881684 2874419 2875250 2878432 2877810 2870578 2872645 2875963 2874655 2876215 2873792 2877796 2877720 2879985 2879311 2881080 2881454 2875199 2880321 2882340 2878036 2879678 2874364 2879515 2877719 2877910 2878243 2876771 2878072 2876661],[3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494 3812494]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:6:0_CTA-MIX_0:1:0_KIDX-NUM_0:3:0_KERNEL,commit_ccd18_modified_0,1058891,5479346,9469,0,322072544,0.9998,0.9000,0,0,10648888,354864,30025957,3002761,23753688,1319478958,374985600,0.008804,0.000000,0.173878,0.000000,0.000000,58,32,[[] [5479344] [] ],[[] [11264876160] [] ],[[] [70.3999] [] ],[[] [0.14] [] ],[[] [0.52] [] ],[[] [0.01] [] ],[[] [11.68] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [13.44] [] ],[[] [210] [] ],[[] [31] [] ],[[] [8] [] ],[[] [7] [] ],[0.2022 0.2022 0.202 0.2017 0.2012 0.2015 0.2017 0.2013 0.2027 0.2022 0.2015 0.2021 0.202 0.2028 0.2012 0.2033 0.2015 0.2015 0.2014 0.2011 0.2016 0.2022 0.2013 0.2013 0.2021 0.2022 0.2023 0.2018 0.2015 0.2017 0.2017 0.2024],[0.06694 0.06693 0.06693 0.06692 0.06693 0.06693 0.06693 0.06693 0.06693 0.06693 0.06693 0.06694 0.06693 0.06693 0.06693 0.06693 0.06693 0.06694 0.06694 0.06694 0.06693 0.06694 0.06694 0.06694 0.06694 0.06694 0.06693 0.06693 0.06693 0.06694 0.06693 0.06693],[0.539910 0.540698 0.541265 0.536621 0.539066 0.540643 0.542134 0.537328 0.540276 0.538710 0.537926 0.535622 0.538904 0.540471 0.537470 0.543303 0.534496 0.541360 0.540532 0.536001 0.539510 0.543108 0.541259 0.540490 0.541162 0.541837 0.539510 0.536704 0.539860 0.537982 0.537231 0.538060],[3150820 3147631 3150136 3147120 3145996 3148203 3149056 3146854 3151535 3148214 3145160 3149275 3149111 3152073 3144789 3154108 3145185 3147444 3145999 3144250 3146903 3149684 3147062 3145613 3149614 3148930 3149521 3145649 3147906 3148095 3147447 3147246],[4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350 4114350]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:14:0_CTA-MIX_0:2:0_KIDX-NUM_0:3:0_KERNEL-BYPASS_L2D_S1,commit_ccd18_modified_0,57,2328198,4897230,0,6379832,0.9141,0.0125,0,0,4320,8924901,1062046,2582405,2689137,717748692,11963520,0.000000,0.000000,0.008461,0.000000,0.000000,58,32,[[] [2328196] [] ],[[] [355721760] [] ],[[] [354.0881] [] ],[[] [31.31] [] ],[[] [9.88] [] ],[[] [0.01] [] ],[[] [795.15] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.17] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.85] [] ],[[] [0.00] [] ],[[] [838.54] [] ],[[] [15521] [] ],[[] [14897] [] ],[[] [18] [] ],[[] [194] [] ],[0.434 0.4342 0.4332 0.4346 0.4332 0.4348 0.4343 0.4343 0.435 0.4336 0.4341 0.434 0.4336 0.4346 0.434 0.4346 0.4355 0.4342 0.4345 0.4341 0.4349 0.4353 0.4069 0.4353 0.4336 0.4345 0.4353 0.4341 0.4342 0.4349 0.4334 0.4354],[0.4067 0.4072 0.4065 0.4067 0.4066 0.4073 0.4066 0.4065 0.4068 0.4069 0.4066 0.4066 0.4067 0.4069 0.4069 0.4069 0.4068 0.4066 0.4065 0.4065 0.4065 0.4067 0.406 0.4068 0.4067 0.4068 0.4066 0.4065 0.4068 0.4069 0.4073 0.4071],[0.078837 0.076463 0.077926 0.079617 0.078464 0.076517 0.078852 0.080084 0.078045 0.077940 0.079331 0.079600 0.078145 0.077706 0.077968 0.078519 0.079789 0.078539 0.079040 0.080403 0.080555 0.078868 0.088388 0.078003 0.079459 0.079066 0.079033 0.080283 0.079876 0.078599 0.076326 0.077167],[139261 136609 135770 141022 135623 139149 139428 140111 141426 134912 138956 138922 136524 139299 136568 139029 142872 137785 140433 138590 142606 144400 4804 142759 137090 140047 143694 139428 138368 142054 134067 141046],[1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205 1748205]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA-MIX_0:2:0_KIDX-NUM_0:3:0_KERNEL-BYPASS_L2D_S1,commit_ccd18_modified_0,51,1577748,1027811,0,4980258,0.9121,0.0125,0,0,4320,8876132,4554113,293,6008674,481189052,11963520,0.000000,0.000000,0.012485,0.000000,0.000000,58,32,[[] [1577746] [] ],[[] [355721760] [] ],[[] [521.3893] [] ],[[] [2.81] [] ],[[] [0.77] [] ],[[] [0.01] [] ],[[] [73.15] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [77.75] [] ],[[] [729] [] ],[[] [38] [] ],[[] [7] [] ],[[] [217] [] ],[0.6004 0.6004 0.6005 0.6005 0.6005 0.6006 0.6006 0.6006 0.6004 0.6005 0.6005 0.6006 0.6006 0.6003 0.6006 0.6006 0.6007 0.6006 0.6004 0.6006 0.6007 0.6007 0.6006 0.6005 0.6005 0.6004 0.6004 0.6006 0.6006 0.6007 0.6006 0.6005],[0.5989 0.5988 0.5989 0.599 0.5989 0.5989 0.5989 0.5989 0.5989 0.5988 0.5989 0.599 0.5989 0.5988 0.5989 0.599 0.599 0.5989 0.5989 0.5989 0.5989 0.599 0.5989 0.5989 0.599 0.5988 0.5988 0.599 0.599 0.5989 0.5989 0.5989],[0.071495 0.072449 0.072057 0.072412 0.072311 0.072797 0.071563 0.071711 0.071897 0.072943 0.071893 0.071538 0.072644 0.072230 0.072860 0.072504 0.071709 0.071086 0.072789 0.072844 0.072367 0.072268 0.072425 0.072587 0.072347 0.071846 0.073159 0.072413 0.073610 0.072128 0.072982 0.072566],[3479 3311 3341 3430 3615 3527 3471 3574 3398 3517 3440 3525 3646 3455 3645 3526 3654 3405 3330 3793 3857 3691 3480 3545 3463 3387 3494 3570 3606 3781 3681 3532],[1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705 1184705]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:8:0_CTA-MIX_0:1:0_KIDX-NUM_0:3:0_KERNEL,commit_ccd18_modified_0,1058892,5287707,5100,0,322074798,0.9997,0.8017,0,0,11951760,330584,21269693,4642674,16201574,1271937411,374985600,0.009123,0.000000,0.180180,0.000000,0.000000,58,32,[[] [5287705] [] ],[[] [11264876160] [] ],[[] [81.8768] [] ],[[] [0.14] [] ],[[] [0.53] [] ],[[] [0.01] [] ],[[] [15.47] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [17.29] [] ],[[] [213] [] ],[[] [31] [] ],[[] [12] [] ],[[] [8] [] ],[0.215 0.2163 0.216 0.215 0.2142 0.2157 0.2156 0.2138 0.2145 0.2154 0.2153 0.2142 0.2148 0.2146 0.2149 0.2159 0.214 0.2142 0.2145 0.2134 0.2142 0.215 0.2135 0.2143 0.2142 0.2132 0.2142 0.2136 0.2133 0.2135 0.2147 0.2138],[0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06934 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935 0.06935],[0.538338 0.545261 0.540100 0.536404 0.537389 0.544290 0.541528 0.537359 0.539218 0.539734 0.543284 0.537310 0.539710 0.539941 0.536391 0.540977 0.538788 0.541555 0.542241 0.537915 0.540741 0.543815 0.541433 0.541623 0.539982 0.541096 0.538764 0.539200 0.539713 0.537397 0.539631 0.538350],[3039284 3043684 3043332 3039937 3034605 3043664 3042616 3035440 3037068 3039040 3041905 3036470 3041162 3038863 3038587 3042973 3036156 3035863 3036778 3033762 3037983 3040295 3033578 3038515 3036520 3032985 3036246 3033908 3031433 3033553 3036742 3033674],[3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451 3970451]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:32:0_CTA-MIX_0:3:0_KIDX-NUM_0:3:0_KERNEL-BYPASS_L2D_S1,commit_ccd18_modified_0,66,577701,1534593,0,1577438,0.9125,0.0125,0,0,4640,2221345,1863882,528448,1556422,174489852,3320520,0.000000,0.000000,0.010351,0.000000,0.000000,58,32,[[] [577699] [] ],[[] [93505200] [] ],[[] [356.3581] [] ],[[] [15.94] [] ],[[] [9.48] [] ],[[] [0.01] [] ],[[] [400.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.10] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.33] [] ],[[] [0.00] [] ],[[] [427.00] [] ],[[] [8019] [] ],[[] [7387] [] ],[[] [13] [] ],[[] [189] [] ],[0.4353 0.4367 0.438 0.439 0.4392 0.4401 0.4388 0.4386 0.4384 0.4122 0.4374 0.4388 0.4411 0.4417 0.4396 0.4388 0.4358 0.4362 0.4374 0.4366 0.4358 0.4367 0.4355 0.436 0.4354 0.4363 0.4379 0.4351 0.4379 0.4365 0.4362 0.4385],[0.4096 0.4097 0.4092 0.4089 0.4089 0.4089 0.4091 0.409 0.4092 0.409 0.4091 0.4091 0.4089 0.409 0.4091 0.4091 0.4092 0.4092 0.4092 0.409 0.4089 0.409 0.4092 0.409 0.4092 0.409 0.409 0.4091 0.4089 0.409 0.4093 0.4091],[0.082903 0.080587 0.083231 0.083483 0.085843 0.085119 0.082513 0.082290 0.083378 0.083027 0.082895 0.083347 0.086891 0.084012 0.081961 0.083397 0.083627 0.082760 0.083267 0.083506 0.084127 0.084280 0.083146 0.083895 0.082972 0.084293 0.083377 0.083451 0.084230 0.084797 0.083485 0.084290],[32537 33874 35406 36533 36927 37983 36355 36355 36154 3783 35265 35744 38452 39140 37669 36205 33103 33590 34973 34062 33357 34877 32993 33873 32587 34133 35941 32618 35805 34464 34134 36229],[433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786 433786]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:12:0_CTA-MIX_0:3:0_KIDX-NUM_0:3:0_KERNEL-BYPASS_L2D_S1,commit_ccd18_modified_0,61,411264,7824486,0,1260345,0.9121,0.0125,0,0,4640,2219019,1299862,5385,1353686,124818879,3320520,0.000000,0.000000,0.014540,0.000000,0.000000,58,32,[[] [411262] [] ],[[] [93505200] [] ],[[] [500.3707] [] ],[[] [4.39] [] ],[[] [1.79] [] ],[[] [0.01] [] ],[[] [109.27] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [116.47] [] ],[[] [1387] [] ],[[] [197] [] ],[[] [7] [] ],[[] [238] [] ],[0.5809 0.5804 0.5804 0.5799 0.5806 0.5804 0.5803 0.5801 0.5804 0.5809 0.58 0.5806 0.5799 0.5807 0.5803 0.5804 0.5802 0.5802 0.581 0.5808 0.5802 0.5805 0.5804 0.58 0.5801 0.5805 0.5806 0.5808 0.5804 0.5801 0.5805 0.5802],[0.5745 0.5744 0.5745 0.5743 0.5743 0.5744 0.5745 0.5743 0.5743 0.5745 0.5744 0.5744 0.5744 0.5745 0.5744 0.5744 0.5744 0.5743 0.5745 0.5744 0.5744 0.5745 0.5744 0.5743 0.5744 0.5744 0.5743 0.5745 0.5743 0.5744 0.5745 0.5745],[0.069704 0.069485 0.069233 0.069489 0.068677 0.070322 0.070674 0.070228 0.069479 0.069967 0.070506 0.070337 0.067766 0.067311 0.069078 0.069423 0.070023 0.068325 0.067780 0.068269 0.066865 0.069984 0.068988 0.068977 0.068276 0.067441 0.068768 0.069827 0.067842 0.068819 0.068615 0.067205],[3606 3421 3459 3299 3616 3448 3309 3348 3434 3644 3336 3576 3238 3472 3394 3425 3339 3333 3665 3679 3344 3399 3463 3392 3321 3525 3665 3647 3477 3174 3635 3367],[308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811 308811]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:4:0_CTA-MIX_0:2:0_KIDX-NUM_0:3:0_KERNEL-BYPASS_L2D_S1,commit_ccd18_modified_0,52,2088998,5375192,0,5688305,0.9122,0.0125,0,0,4320,8876705,1226844,200953,2093433,651515778,11963520,0.000000,0.000000,0.009429,0.000000,0.000000,58,32,[[] [2088996] [] ],[[] [355721760] [] ],[[] [393.7971] [] ],[[] [9.18] [] ],[[] [1.11] [] ],[[] [0.01] [] ],[[] [192.61] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [203.95] [] ],[[] [2866] [] ],[[] [2242] [] ],[[] [8] [] ],[[] [190] [] ],[0.464 0.4639 0.4651 0.4651 0.4641 0.4643 0.4651 0.4646 0.4639 0.4641 0.4533 0.4653 0.4644 0.4646 0.4647 0.4643 0.4642 0.4638 0.4641 0.464 0.465 0.4643 0.4646 0.4644 0.4639 0.4646 0.4637 0.4642 0.4637 0.4638 0.4636 0.4638],[0.4523 0.4523 0.4524 0.4524 0.4523 0.4523 0.4523 0.4524 0.4524 0.4523 0.4523 0.4524 0.4524 0.4523 0.4523 0.4524 0.4524 0.4524 0.4523 0.4523 0.4523 0.4524 0.4523 0.4523 0.4524 0.4523 0.4523 0.4524 0.4524 0.4524 0.4523 0.4523],[0.080919 0.079680 0.077888 0.078257 0.081099 0.079722 0.080199 0.080759 0.080665 0.080120 0.085613 0.078951 0.080970 0.080056 0.080672 0.081937 0.079665 0.078776 0.078891 0.079807 0.079535 0.079323 0.079652 0.080883 0.079378 0.078361 0.079568 0.081237 0.079644 0.078567 0.080753 0.081264],[64368 63872 67241 67355 64336 64262 67269 65256 61625 63899 3728 68715 64255 67315 66975 63750 63525 62298 63928 63317 67291 64267 65758 65610 63576 66522 63682 65059 61800 63520 62188 62600],[1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594 1568594]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:12:0_CTA-MIX_0:2:0_KIDX-NUM_0:3:0_KERNEL-BYPASS_L2D_S1,commit_ccd18_modified_0,56,2319062,5685452,0,6241229,0.9134,0.0125,0,0,4320,8906256,1000710,1992017,2728115,715238674,11963520,0.000000,0.000000,0.008494,0.000000,0.000000,58,32,[[] [2319060] [] ],[[] [355721760] [] ],[[] [355.1918] [] ],[[] [27.14] [] ],[[] [6.55] [] ],[[] [0.01] [] ],[[] [673.55] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.12] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.49] [] ],[[] [0.00] [] ],[[] [708.97] [] ],[[] [12982] [] ],[[] [12354] [] ],[[] [15] [] ],[[] [192] [] ],[0.4358 0.4363 0.4362 0.4361 0.4363 0.436 0.436 0.4372 0.4369 0.4362 0.4373 0.4376 0.4364 0.4361 0.4085 0.4362 0.4357 0.4355 0.4356 0.4361 0.4359 0.4362 0.4368 0.4356 0.4352 0.4364 0.4361 0.4368 0.4366 0.436 0.4365 0.4361],[0.4079 0.4081 0.4078 0.4078 0.4079 0.408 0.4087 0.4085 0.4078 0.4078 0.4079 0.4078 0.4077 0.4078 0.4076 0.4083 0.4081 0.4082 0.4079 0.4079 0.4082 0.4083 0.4081 0.408 0.4079 0.4084 0.4078 0.4079 0.408 0.4087 0.4077 0.4077],[0.080307 0.079435 0.079989 0.080842 0.080327 0.079844 0.076533 0.078353 0.080259 0.080845 0.080048 0.080749 0.080667 0.080005 0.086531 0.077939 0.079159 0.078593 0.079759 0.080862 0.079485 0.078797 0.079118 0.079147 0.079854 0.077919 0.079934 0.080544 0.078717 0.078205 0.079855 0.080106],[140359 140204 141427 140899 142024 139840 138039 143290 144752 141460 146263 147546 142583 142189 3882 139355 138422 137016 138827 139879 138556 139860 142778 139108 136259 140300 139987 143977 142954 137148 142668 141643],[1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345 1741345]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA-MIX_0:1:0_KIDX-NUM_0:3:0_KERNEL,commit_ccd18_modified_0,1058889,11259216,5381,0,322072544,1.0000,0.8761,0,0,10938512,354652,124568743,628658,280183592,2820502835,374985600,0.004284,0.000000,0.084619,0.000000,0.000000,58,32,[[] [11259214] [] ],[[] [11264876160] [] ],[[] [35.1922] [] ],[[] [0.12] [] ],[[] [0.51] [] ],[[] [0.01] [] ],[[] [7.57] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [9.22] [] ],[[] [204] [] ],[[] [28] [] ],[[] [7] [] ],[[] [6] [] ],[0.1755 0.1765 0.1763 0.1756 0.1754 0.1764 0.1769 0.1753 0.1763 0.1767 0.1764 0.1756 0.1763 0.1771 0.1752 0.1765 0.1753 0.1759 0.176 0.1753 0.1755 0.176 0.1757 0.1755 0.1753 0.1762 0.1755 0.1753 0.1757 0.1754 0.1762 0.1752],[0.03257 0.03257 0.03258 0.03258 0.03258 0.03258 0.03257 0.03257 0.03257 0.03257 0.03257 0.03257 0.03258 0.03257 0.03258 0.03257 0.03258 0.03258 0.03257 0.03258 0.03257 0.03257 0.03258 0.03257 0.03257 0.03257 0.03257 0.03257 0.03257 0.03258 0.03258 0.03257],[0.544996 0.551232 0.546210 0.542802 0.542006 0.549313 0.549965 0.542700 0.547623 0.548912 0.547969 0.543676 0.545661 0.550125 0.540706 0.548354 0.544431 0.547557 0.548050 0.542776 0.546243 0.546780 0.546680 0.545504 0.544748 0.547514 0.545425 0.543303 0.544513 0.544696 0.546608 0.544052],[7407158 7409573 7408723 7404388 7405568 7411683 7414349 7403922 7410967 7412605 7411453 7407058 7409825 7415840 7403976 7410750 7404656 7406606 7406555 7403879 7405335 7408061 7406010 7404656 7403291 7408744 7406124 7403849 7405100 7405324 7409041 7402705],[8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358 8454358]
