pair_str,config,gpusim_version,jobId,tot_runtime,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,sp_busy,dp_busy,int_busy,tensor_busy,sfu_busy,regs,smem,runtime,instructions,l2_bw,barrier_cycles,inst_empty_cycles,branch_cycles,scoreboard_cycles,stall_sp_cycles,stall_dp_cycles,stall_int_cycles,stall_tensor_cycles,stall_sfu_cycles,stall_mem_cycles,not_selected_cycles,cycles_per_issue,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:12:0_CTA,commit_ccd18_modified_0,1058829,1498383,10877,0,131312,1.0000,0.0926,0,0,20222,0,101311,47551451,62515429,120924261,228392960,0.351214,0.000000,0.036338,0.000000,0.000972,32,516,[[] [1498381] [] ],[[] [6133492736] [] ],[[] [0.4889] [] ],[[] [0.74] [] ],[[] [0.65] [] ],[[] [0.01] [] ],[[] [6.75] [] ],[[] [0.74] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [12.36] [] ],[[] [240] [] ],[[] [55] [] ],[[] [7] [] ],[[] [7] [] ],[0.1257 0.1576 0.1435 0.1616 0.128 0.1333 0.1441 0.1236 0.1441 0.1584 0.1356 0.126 0.1265 0.1103 0.1185 0.1208 0.1326 0.1333 0.1326 0.1188 0.1127 0.1739 0.1455 0.1013 0.1311 0.1224 0.1509 0.1463 0.1491 0.1356 0.127 0.1491],[2.133e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.844e-05 2.133e-05 1.422e-05 2.133e-05 2.133e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05 2.133e-05 2.133e-05 2.133e-05 2.133e-05 2.133e-05 2.133e-05 2.133e-05 2.133e-05],[0.666667 0.656250 0.812500 0.687500 0.812500 0.812500 0.843750 0.843750 0.812500 0.812500 0.187500 0.531250 0.718750 0.781250 0.718750 0.718750 0.875000 0.875000 0.750000 0.750000 1.000000 0.562500 1.000000 1.000000 0.833333 0.875000 0.625000 0.666667 0.500000 0.583333 0.750000 0.583333],[1125023 1125009 1125011 1125009 1125012 1125010 1125012 1125014 1125012 1125011 1124956 1124963 1124987 1124988 1124987 1124986 1125051 1125062 1125025 1125024 1125063 1125059 1125063 1125064 1125024 1125025 1125022 1125025 1125021 1125022 1125024 1125021],[1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111 1125111]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:3:0_CTA,commit_ccd18_modified_0,1058820,2638054,12573,0,28474,1.0000,0.0926,0,0,20224,0,101452,0,207905898,376071330,228392960,0.199485,0.000000,0.020639,0.000000,0.000552,32,516,[[] [2638052] [] ],[[] [6133492736] [] ],[[] [0.2777] [] ],[[] [0.07] [] ],[[] [0.55] [] ],[[] [0.00] [] ],[[] [4.91] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.63] [] ],[[] [242] [] ],[[] [63] [] ],[[] [7] [] ],[[] [6] [] ],[0.1137 0.1107 0.1143 0.1131 0.1131 0.107 0.1115 0.1049 0.1077 0.1151 0.1019 0.1085 0.1085 0.1143 0.1092 0.1127 0.125 0.1231 0.1231 0.09677 0.1481 0.1356 0.1103 0.1032 0.1039 0.09959 0.1076 0.1062 0.1067 0.1076 0.1062 0.1194],[1.212e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.615e-05 1.212e-05 8.077e-06 1.212e-05 1.212e-05 8.077e-06 8.077e-06 8.077e-06 8.077e-06 1.212e-05 1.212e-05 1.212e-05 1.212e-05 1.212e-05 1.212e-05 1.212e-05 1.212e-05],[0.791667 0.687500 0.750000 0.750000 0.781250 0.781250 0.750000 0.750000 0.781250 0.750000 0.562500 0.781250 0.781250 0.781250 0.781250 0.781250 0.916667 0.875000 0.750000 0.708333 0.750000 0.812500 0.937500 0.875000 0.833333 0.791667 0.750000 0.791667 0.791667 0.791667 0.791667 0.666667],[1980785 1980747 1980748 1980748 1980748 1980747 1980747 1980749 1980749 1980748 1980722 1980748 1980750 1980749 1980747 1980748 1980811 1980821 1980783 1980760 1980821 1980823 1980823 1980822 1980786 1980785 1980786 1980785 1980786 1980785 1980786 1980783],[1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871 1980871]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:4:0_CTA,commit_ccd18_modified_0,1058821,2161682,12380,0,34130,1.0000,0.0926,0,0,20224,0,101322,29513,150876504,282824185,228392960,0.243446,0.000000,0.025188,0.000000,0.000674,32,516,[[] [2161680] [] ],[[] [6133492736] [] ],[[] [0.3389] [] ],[[] [0.09] [] ],[[] [0.56] [] ],[[] [0.00] [] ],[[] [5.05] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.90] [] ],[[] [247] [] ],[[] [62] [] ],[[] [7] [] ],[[] [7] [] ],[0.1026 0.1416 0.1203 0.1131 0.1131 0.1139 0.1203 0.1077 0.1115 0.1155 0.1029 0.1194 0.1143 0.1046 0.1088 0.1139 0.1263 0.124 0.1404 0.1212 0.1322 0.1185 0.1096 0.128 0.1297 0.1237 0.127 0.1053 0.1154 0.1206 0.1159 0.1127],[1.479e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.971e-05 1.479e-05 9.857e-06 1.479e-05 1.479e-05 9.857e-06 9.857e-06 9.857e-06 9.857e-06 1.479e-05 1.479e-05 1.479e-05 1.479e-05 1.479e-05 1.479e-05 1.479e-05 1.479e-05],[0.791667 0.468750 0.718750 0.718750 0.781250 0.781250 0.687500 0.781250 0.750000 0.781250 0.562500 0.687500 0.781250 0.781250 0.781250 0.718750 0.916667 0.875000 0.625000 0.875000 0.875000 0.875000 0.875000 0.625000 0.750000 0.708333 0.625000 0.833333 0.708333 0.708333 0.750000 0.750000],[1623087 1623043 1623046 1623049 1623049 1623048 1623046 1623048 1623047 1623048 1623022 1623047 1623047 1623048 1623048 1623049 1623111 1623122 1623082 1623086 1623122 1623122 1623122 1623120 1623084 1623083 1623083 1623085 1623084 1623083 1623084 1623084],[1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171 1623171]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:13:0_CTA,commit_ccd18_modified_0,1058830,1442652,11114,0,146612,1.0000,0.0926,0,0,20224,0,101343,47974797,61396963,119317153,228392960,0.364782,0.000000,0.037742,0.000000,0.001009,32,516,[[] [1442650] [] ],[[] [6133492736] [] ],[[] [0.5078] [] ],[[] [1.04] [] ],[[] [0.66] [] ],[[] [0.00] [] ],[[] [6.75] [] ],[[] [0.82] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [13.04] [] ],[[] [243] [] ],[[] [55] [] ],[[] [7] [] ],[[] [7] [] ],[0.1446 0.1616 0.1495 0.1667 0.1468 0.1531 0.1667 0.1495 0.1461 0.1569 0.1339 0.1333 0.1495 0.1488 0.1461 0.1624 0.1846 0.1495 0.1356 0.1437 0.1212 0.1818 0.1778 0.1584 0.1379 0.129 0.1404 0.1429 0.1395 0.1446 0.1348 0.1509],[2.216e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.216e-05 1.477e-05 2.216e-05 2.216e-05 1.477e-05 1.477e-05 1.477e-05 1.477e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05],[0.750000 0.625000 0.750000 0.656250 0.812500 0.750000 0.625000 0.687500 0.812500 0.625000 0.343750 0.437500 0.781250 0.750000 0.750000 0.781250 0.916667 0.875000 0.750000 0.750000 1.000000 0.875000 0.750000 0.875000 0.500000 0.708333 0.583333 0.500000 0.625000 0.500000 0.583333 0.625000],[1083176 1083160 1083163 1083161 1083164 1083162 1083160 1083163 1083162 1083161 1083109 1083111 1083163 1083163 1083163 1083162 1083201 1083213 1083175 1083175 1083215 1083212 1083214 1083217 1083173 1083175 1083174 1083173 1083175 1083173 1083174 1083172],[1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:10:0_CTA,commit_ccd18_modified_0,1058827,1439612,11181,0,111075,1.0000,0.0926,0,0,20224,0,101322,43221916,61720448,123850002,228392960,0.365552,0.000000,0.037821,0.000000,0.001011,32,516,[[] [1439610] [] ],[[] [6133492736] [] ],[[] [0.5089] [] ],[[] [0.35] [] ],[[] [0.64] [] ],[[] [0.00] [] ],[[] [6.67] [] ],[[] [0.45] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [10.71] [] ],[[] [244] [] ],[[] [55] [] ],[[] [7] [] ],[[] [8] [] ],[0.1171 0.1255 0.1139 0.1265 0.1265 0.126 0.128 0.1203 0.1081 0.1345 0.1096 0.1231 0.1285 0.1236 0.1119 0.1322 0.1611 0.1379 0.1611 0.1297 0.1441 0.1839 0.1684 0.1356 0.1304 0.1491 0.1387 0.1491 0.1188 0.1311 0.1429 0.1446],[2.22e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.96e-05 2.22e-05 1.48e-05 2.22e-05 2.22e-05 1.48e-05 1.48e-05 1.48e-05 1.48e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05 2.22e-05],[0.625000 0.593750 0.781250 0.593750 0.781250 0.750000 0.781250 0.750000 0.781250 0.750000 0.468750 0.687500 0.593750 0.718750 0.750000 0.531250 0.666667 0.750000 0.500000 0.583333 0.625000 0.625000 0.937500 0.875000 0.833333 0.666667 0.666667 0.416667 0.666667 0.583333 0.541667 0.500000],[1080892 1080853 1080857 1080855 1080859 1080857 1080856 1080857 1080858 1080856 1080829 1080856 1080853 1080857 1080856 1080853 1080916 1080929 1080890 1080891 1080929 1080929 1080931 1080932 1080895 1080892 1080892 1080889 1080892 1080890 1080890 1080891],[1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980 1080980]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA,commit_ccd18_modified_0,1058819,3647537,12557,0,4987,1.0000,0.0956,0,0,19580,0,482487,0,300498876,540215605,228392960,0.144276,0.000000,0.014927,0.000000,0.000399,32,516,[[] [3647535] [] ],[[] [6133492736] [] ],[[] [0.1945] [] ],[[] [0.05] [] ],[[] [0.53] [] ],[[] [0.00] [] ],[[] [4.87] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.49] [] ],[[] [229] [] ],[[] [75] [] ],[[] [7] [] ],[[] [6] [] ],[0.09959 0.1092 0.1081 0.1074 0.1074 0.1077 0.1085 0.1039 0.1074 0.1074 0.09816 0.1081 0.1085 0.09907 0.1107 0.1063 0.1116 0.09412 0.09959 0.1106 0.09938 0.1032 0.106 0.09412 0.1165 0.1081 0.09959 0.09959 0.1062 0.09959 0.09959 0.09959],[8.763e-06 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 1.168e-05 8.763e-06 5.842e-06 8.763e-06 8.763e-06 5.842e-06 5.842e-06 5.842e-06 5.842e-06 8.763e-06 8.763e-06 8.763e-06 8.763e-06 8.763e-06 8.763e-06 8.763e-06 8.763e-06],[0.791667 0.656250 0.781250 0.781250 0.812500 0.781250 0.750000 0.718750 0.781250 0.812500 0.562500 0.781250 0.750000 0.781250 0.843750 0.843750 1.000000 1.000000 0.833333 0.708333 1.000000 1.000000 1.000000 1.000000 0.625000 0.833333 0.833333 0.791667 0.708333 0.791667 0.791667 0.833333],[2738790 2738750 2738753 2738753 2738752 2738752 2738751 2738753 2738752 2738752 2738726 2738751 2738751 2738752 2738777 2738778 2738817 2738828 2738790 2738789 2738827 2738827 2738827 2738828 2738789 2738790 2738790 2738790 2738789 2738790 2738790 2738790],[2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875 2738875]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:6:0_CTA,commit_ccd18_modified_0,1058823,1764070,12147,0,60932,1.0000,0.0926,0,0,20224,0,101323,1480042,103451019,206046248,228392960,0.298317,0.000000,0.030865,0.000000,0.000825,32,516,[[] [1764068] [] ],[[] [6133492736] [] ],[[] [0.4153] [] ],[[] [0.16] [] ],[[] [0.59] [] ],[[] [0.00] [] ],[[] [5.74] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [7.96] [] ],[[] [245] [] ],[[] [60] [] ],[[] [7] [] ],[[] [7] [] ],[0.1026 0.1221 0.1077 0.1168 0.1226 0.1111 0.1107 0.1063 0.1074 0.1147 0.1029 0.1088 0.1107 0.1139 0.1103 0.1056 0.1667 0.1553 0.1644 0.129 0.1633 0.1818 0.1301 0.1345 0.1283 0.1297 0.1224 0.1237 0.1137 0.1263 0.125 0.1283],[1.812e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 2.416e-05 1.812e-05 1.208e-05 1.812e-05 1.812e-05 1.208e-05 1.208e-05 1.208e-05 1.208e-05 1.812e-05 1.812e-05 1.812e-05 1.812e-05 1.812e-05 1.812e-05 1.812e-05 1.812e-05],[0.791667 0.656250 0.781250 0.812500 0.750000 0.781250 0.750000 0.718750 0.781250 0.718750 0.500000 0.781250 0.750000 0.812500 0.750000 0.718750 0.750000 0.875000 0.750000 0.750000 0.750000 0.625000 0.750000 0.625000 0.583333 0.625000 0.708333 0.666667 0.666667 0.583333 0.666667 0.625000],[1324525 1324485 1324488 1324488 1324487 1324487 1324487 1324488 1324488 1324487 1324461 1324488 1324488 1324489 1324487 1324488 1324547 1324561 1324528 1324524 1324560 1324559 1324561 1324561 1324522 1324522 1324523 1324524 1324523 1324522 1324522 1324522],[1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611 1324611]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:1:0_CTA,commit_ccd18_modified_0,1058818,6679505,12555,0,0,1.0000,0.0926,0,0,20224,0,1243674,0,776943757,1097910049,228392960,0.078786,0.000000,0.008152,0.000000,0.000218,32,516,[[] [6679503] [] ],[[] [6133492736] [] ],[[] [0.1097] [] ],[[] [0.02] [] ],[[] [0.51] [] ],[[] [0.00] [] ],[[] [4.86] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.40] [] ],[[] [248] [] ],[[] [62] [] ],[[] [7] [] ],[[] [6] [] ],[0.1137 0.1217 0.124 0.11 0.1127 0.1123 0.1085 0.11 0.128 0.125 0.127 0.125 0.125 0.1135 0.1123 0.1181 0.1148 0.1111 0.1159 0.1043 0.1143 0.127 0.1311 0.126 0.1127 0.1106 0.1043 0.1121 0.1091 0.1319 0.1137 0.1224],[4.785e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 6.38e-06 4.785e-06 3.19e-06 4.785e-06 4.785e-06 3.19e-06 3.19e-06 3.19e-06 3.19e-06 4.785e-06 4.785e-06 4.785e-06 4.785e-06 4.785e-06 4.785e-06 4.785e-06 4.785e-06],[0.750000 0.593750 0.656250 0.781250 0.781250 0.812500 0.750000 0.718750 0.718750 0.750000 0.718750 0.687500 0.718750 0.843750 0.843750 0.750000 1.000000 0.812500 0.708333 0.791667 1.000000 0.875000 0.750000 0.875000 0.791667 0.708333 0.791667 0.708333 0.791667 0.625000 0.750000 0.625000],[5015443 5015404 5015403 5015407 5015407 5015407 5015405 5015405 5015430 5015428 5015429 5015428 5015430 5015432 5015431 5015430 5015469 5015479 5015442 5015443 5015482 5015480 5015479 5015480 5015444 5015442 5015443 5015443 5015443 5015441 5015442 5015443],[5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529 5015529]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:9:0_CTA,commit_ccd18_modified_0,1058826,1423136,11278,0,106001,1.0000,0.0926,0,0,20224,0,101015,35908719,63060677,124446717,228392960,0.369784,0.000000,0.038259,0.000000,0.001023,32,516,[[] [1423134] [] ],[[] [6133492736] [] ],[[] [0.5148] [] ],[[] [0.25] [] ],[[] [0.63] [] ],[[] [0.00] [] ],[[] [6.54] [] ],[[] [0.28] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [9.85] [] ],[[] [244] [] ],[[] [55] [] ],[[] [7] [] ],[[] [7] [] ],[0.1326 0.129 0.1296 0.1435 0.1245 0.1231 0.126 0.11 0.1147 0.1255 0.1029 0.107 0.1123 0.1053 0.1111 0.1056 0.1481 0.1649 0.1455 0.1277 0.127 0.1758 0.1758 0.1322 0.1472 0.15 0.1446 0.1569 0.125 0.127 0.1519 0.1569],[2.246e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.995e-05 2.246e-05 1.497e-05 2.246e-05 2.246e-05 1.497e-05 1.497e-05 1.497e-05 1.497e-05 2.246e-05 2.246e-05 2.246e-05 2.246e-05 2.246e-05 2.246e-05 2.246e-05 2.246e-05],[0.666667 0.562500 0.593750 0.593750 0.718750 0.718750 0.718750 0.750000 0.843750 0.656250 0.500000 0.843750 0.875000 0.812500 0.843750 0.843750 1.000000 0.875000 0.833333 0.833333 1.000000 0.875000 0.562500 0.875000 0.750000 0.625000 0.541667 0.458333 0.750000 0.791667 0.666667 0.458333],[1068520 1068481 1068484 1068482 1068485 1068485 1068485 1068486 1068487 1068485 1068460 1068488 1068487 1068486 1068488 1068487 1068551 1068558 1068522 1068523 1068561 1068559 1068557 1068560 1068523 1068520 1068519 1068518 1068522 1068522 1068520 1068518],[1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609 1068609]
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:5:0_CTA,commit_ccd18_modified_0,1058822,1724881,11993,0,56254,1.0000,0.0926,0,0,20224,0,101309,171392,103398933,217674634,228392960,0.305095,0.000000,0.031566,0.000000,0.000844,32,516,[[] [1724879] [] ],[[] [6133492736] [] ],[[] [0.4247] [] ],[[] [0.12] [] ],[[] [0.58] [] ],[[] [0.00] [] ],[[] [5.28] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [7.27] [] ],[[] [245] [] ],[[] [61] [] ],[[] [7] [] ],[[] [7] [] ],[0.1137 0.1226 0.1176 0.11 0.1147 0.1096 0.1103 0.1085 0.1131 0.1194 0.1029 0.1115 0.1088 0.1067 0.1147 0.1181 0.1364 0.1194 0.1263 0.1048 0.1039 0.1524 0.1212 0.1194 0.1371 0.1326 0.1263 0.1188 0.1194 0.1224 0.1277 0.1244],[1.853e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 2.471e-05 1.853e-05 1.235e-05 1.853e-05 1.853e-05 1.235e-05 1.235e-05 1.235e-05 1.235e-05 1.853e-05 1.853e-05 1.853e-05 1.853e-05 1.853e-05 1.853e-05 1.853e-05 1.853e-05],[0.708333 0.625000 0.687500 0.781250 0.750000 0.781250 0.750000 0.718750 0.718750 0.812500 0.500000 0.750000 0.750000 0.781250 0.781250 0.718750 0.916667 0.875000 0.750000 0.833333 1.000000 0.875000 1.000000 1.000000 0.791667 0.625000 0.666667 0.666667 0.708333 0.583333 0.625000 0.583333],[1295098 1295058 1295060 1295063 1295060 1295060 1295060 1295061 1295060 1295062 1295034 1295061 1295061 1295064 1295061 1295060 1295124 1295134 1295096 1295098 1295136 1295135 1295136 1295138 1295098 1295096 1295095 1295096 1295096 1295095 1295095 1295095],[1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184 1295184]
