pair_str,config,gpusim_version,jobId,tot_runtime,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,sp_busy,dp_busy,int_busy,tensor_busy,sfu_busy,regs,smem,runtime,instructions,l2_bw,barrier_cycles,inst_empty_cycles,branch_cycles,scoreboard_cycles,stall_sp_cycles,stall_dp_cycles,stall_int_cycles,stall_tensor_cycles,stall_sfu_cycles,stall_mem_cycles,not_selected_cycles,cycles_per_issue,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
cut_sgemm-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA,commit_ccd18_modified_0,1058735,97341,58217,0,145685,0.9414,0.5466,0,31676,525696,212992,9443,2080093,16223410,5328442,7274496,0.136789,0.000000,0.070351,0.000000,0.000000,122,16400,[[] [97339] [] ],[[] [228392960] [] ],[[] [195.6339] [] ],[[] [0.30] [] ],[[] [7.87] [] ],[[] [0.00] [] ],[[] [3.30] [] ],[[] [0.53] [] ],[[] [0.00] [] ],[[] [0.03] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.09] [] ],[[] [0.00] [] ],[[] [13.64] [] ],[[] [310] [] ],[[] [103] [] ],[[] [21] [] ],[[] [22] [] ],[0.3695 0.3834 0.3584 0.3667 0.3543 0.3523 0.3798 0.3795 0.3778 0.3748 0.3776 0.3659 0.3644 0.3769 0.37 0.3741 0.3909 0.3825 0.3518 0.3508 0.3432 0.3644 0.3893 0.3831 0.3718 0.3727 0.3691 0.3717 0.3738 0.3677 0.3775 0.3784],[0.03905 0.03905 0.03897 0.03897 0.03886 0.03875 0.03897 0.03897 0.03897 0.03897 0.03886 0.03886 0.03897 0.03897 0.03897 0.03897 0.03875 0.03875 0.03875 0.03875 0.03779 0.03875 0.03875 0.03875 0.03869 0.03864 0.03875 0.03875 0.03875 0.03875 0.03875 0.03875],[0.371951 0.323933 0.325421 0.343798 0.348194 0.327161 0.320827 0.362175 0.405054 0.339204 0.330521 0.309049 0.336907 0.336141 0.333844 0.313936 0.358796 0.364969 0.358796 0.350309 0.335931 0.354167 0.351852 0.314815 0.336687 0.392081 0.311728 0.348765 0.323302 0.338735 0.349537 0.345679],[66704 66837 66598 66746 66498 66471 66818 66963 67022 66790 66850 66677 66721 66901 66473 66616 67027 66857 66517 66466 66435 66736 67108 66898 66754 66814 66766 66860 66855 66780 66825 66807],[73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091]
cut_sgemm-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:1:0_CTA,commit_ccd18_modified_0,1058734,137194,57143,0,72973,1.0000,0.4999,0,29130,574848,262144,5457,1780614,19660460,10207369,7274496,0.097054,0.000000,0.049915,0.000000,0.000000,122,16400,[[] [137192] [] ],[[] [228392960] [] ],[[] [151.7821] [] ],[[] [0.09] [] ],[[] [5.79] [] ],[[] [0.00] [] ],[[] [3.13] [] ],[[] [0.31] [] ],[[] [0.00] [] ],[[] [0.03] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.04] [] ],[[] [0.00] [] ],[[] [10.62] [] ],[[] [321] [] ],[[] [109] [] ],[[] [20] [] ],[[] [45] [] ],[0.6133 0.6357 0.6391 0.6451 0.6503 0.657 0.6404 0.6132 0.6017 0.596 0.6029 0.6049 0.6161 0.6165 0.6163 0.6118 0.634 0.617 0.6521 0.6404 0.6607 0.647 0.625 0.6439 0.6112 0.6147 0.6359 0.62 0.6169 0.622 0.6416 0.6283],[0.03293 0.03306 0.03411 0.03401 0.03408 0.03393 0.03293 0.03292 0.03151 0.03157 0.0317 0.03142 0.03155 0.03177 0.03138 0.03133 0.03268 0.03265 0.03394 0.0338 0.03418 0.03386 0.03268 0.03283 0.03117 0.03135 0.03148 0.03177 0.03169 0.03139 0.03132 0.03137],[0.311724 0.335626 0.288422 0.337178 0.364378 0.317190 0.333564 0.296194 0.351313 0.339476 0.338048 0.353945 0.352732 0.322968 0.406695 0.360656 0.313110 0.291492 0.332423 0.302326 0.312754 0.325137 0.279833 0.340529 0.357554 0.326868 0.376605 0.345635 0.314854 0.330236 0.363897 0.377587],[98320 98439 98387 98415 98426 98451 98408 98249 98448 98442 98427 98545 98529 98454 98570 98510 98436 98298 98470 98362 98508 98446 98398 98482 98527 98430 98661 98450 98462 98521 98686 98522],[103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016 103016]
rod_heartwall-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:1:0_CTA,commit_ccd18_modified_0,1058784,12555,3658,0,8076,0.8286,0.4801,0,0,43701,18819,306,0,1120418,1289100,130968,0.000000,0.000000,0.023776,0.000000,0.014573,44,11872,[[] [12553] [] ],[[] [4044300] [] ],[[] [126.1073] [] ],[[] [0.02] [] ],[[] [14.14] [] ],[[] [0.01] [] ],[[] [19.61] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [34.80] [] ],[[] [205] [] ],[[] [35] [] ],[[] [7] [] ],[[] [11] [] ],[-nan 0.07273 0.05 -nan 0.09346 0.07273 0.1 0.1091 0.09524 0.1111 0.06122 0.1081 0.1241 0.09524 0.1111 0.09524 0.08421 0.1132 0.06316 0.1132 0.07273 0.1 0.1091 0.07273 0.1091 0.07273 0.1 0.1091 0.07273 0.1091 0.07273 0.1],[0 0.0004243 0.0002122 0 0.001061 0.0004243 0.0004243 0.0006365 0.001273 0.001485 0.001273 0.001273 0.001909 0.001273 0.001485 0.001273 0.0008486 0.001273 0.0006365 0.001273 0.0004243 0.0004243 0.0006365 0.0004243 0.0006365 0.0004243 0.0004243 0.0006365 0.0004243 0.0006365 0.0004243 0.0004243],[-nan 1.000000 1.000000 -nan 0.500000 1.000000 0.500000 0.666667 0.666667 0.571429 0.333333 0.583333 0.611111 0.666667 0.642857 0.666667 0.750000 0.666667 1.000000 0.666667 1.000000 0.500000 0.666667 1.000000 0.666667 1.000000 0.500000 0.666667 1.000000 0.666667 1.000000 0.500000],[9427 9409 9412 9427 9374 9409 9408 9405 9371 9367 9323 9371 9360 9371 9367 9371 9390 9383 9394 9383 9409 9408 9405 9409 9405 9409 9408 9405 9409 9405 9409 9408],[9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427 9427]
cut_wmma-2,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA,commit_ccd18_modified_0,1058739,945690,462306,0,15258851,0.9978,0.1718,0,871251,15262190,14712942,3530875,284856,26613698,217651427,33681408,0.000440,0.000000,0.085014,0.436588,0.000000,255,10256,[[] [945688] [] ],[[] [1042808832] [] ],[[] [584.6088] [] ],[[] [0.08] [] ],[[] [0.70] [] ],[[] [0.01] [] ],[[] [6.48] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [8.26] [] ],[[] [402] [] ],[[] [81] [] ],[[] [128] [] ],[[] [15] [] ],[0.2803 0.2799 0.2804 0.2806 0.28 0.2797 0.2825 0.2811 0.278 0.279 0.2789 0.2801 0.2871 0.2866 0.2817 0.2812 0.2806 0.2801 0.2805 0.2809 0.2796 0.2803 0.2813 0.2816 0.2787 0.2786 0.2799 0.2789 0.2861 0.2864 0.2813 0.282],[0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139 0.1139],[0.734025 0.736561 0.735141 0.739206 0.741252 0.737216 0.734607 0.735919 0.745792 0.742909 0.742030 0.743601 0.743846 0.740949 0.744984 0.742087 0.734420 0.736323 0.740358 0.732575 0.737346 0.743226 0.736539 0.735400 0.743717 0.744912 0.743861 0.743184 0.744249 0.743097 0.741094 0.743357],[555155 554917 554813 554911 554626 553865 556688 555354 554158 555154 554826 556478 557423 556866 556063 553918 555441 554759 554905 554919 553887 554436 555473 555730 555150 554240 556363 554317 555998 557275 554207 555651],[710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103 710103]
cut_wmma-2,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:4:0_CTA,commit_ccd18_modified_0,1058741,754940,36706,0,15980648,0.9749,0.1493,0,48799,12288846,11739598,546884,26333696,9388359,124029209,33681408,0.000551,0.000000,0.106494,0.546900,0.000000,255,10256,[[] [754938] [] ],[[] [1042808832] [] ],[[] [589.6526] [] ],[[] [0.36] [] ],[[] [0.92] [] ],[[] [0.01] [] ],[[] [7.83] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [1.03] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.17] [] ],[[] [0.00] [] ],[[] [11.44] [] ],[[] [516] [] ],[[] [122] [] ],[[] [215] [] ],[[] [18] [] ],[0.2652 0.2651 0.2598 0.2619 0.2622 0.2622 0.2637 0.263 0.2639 0.2647 0.267 0.2675 0.2633 0.264 0.2634 0.2639 0.2656 0.2653 0.2619 0.2608 0.2625 0.2618 0.2633 0.2634 0.2648 0.264 0.2672 0.2673 0.2639 0.2637 0.2638 0.2636],[0.09938 0.09938 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09938 0.09937 0.09938 0.09938 0.09937 0.09937 0.09937 0.09938],[0.724684 0.726603 0.729892 0.729648 0.730762 0.732793 0.725339 0.727883 0.739444 0.743059 0.735672 0.736654 0.734936 0.735114 0.738841 0.739310 0.725384 0.727370 0.730361 0.728665 0.732481 0.731008 0.729066 0.724223 0.742012 0.739064 0.735228 0.734849 0.734579 0.733643 0.739400 0.740294],[447837 448251 445898 446812 447329 446896 445950 446255 447978 449499 448081 448196 446892 447615 448057 448321 448253 447540 446881 446294 446746 446739 446401 445757 449318 448094 447996 447939 447391 446769 448142 448120],[566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872]
cut_wmma-2,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:3:0_CTA,commit_ccd18_modified_0,1058740,770631,155384,0,16164344,0.9852,0.1628,0,278143,12982690,12433442,298855,11131107,15934790,152372180,33681408,0.000540,0.000000,0.104326,0.535765,0.000000,255,10256,[[] [770629] [] ],[[] [1042808832] [] ],[[] [610.2612] [] ],[[] [0.17] [] ],[[] [0.86] [] ],[[] [0.01] [] ],[[] [6.88] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.41] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.06] [] ],[[] [0.00] [] ],[[] [9.46] [] ],[[] [468] [] ],[[] [102] [] ],[[] [180] [] ],[[] [17] [] ],[0.271 0.2709 0.2728 0.2725 0.2733 0.2733 0.2763 0.276 0.2728 0.2716 0.2739 0.273 0.2728 0.2731 0.2721 0.2715 0.2705 0.2711 0.2715 0.2724 0.2737 0.2724 0.2762 0.2763 0.2721 0.2726 0.2727 0.2739 0.2732 0.2727 0.2716 0.2721],[0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124 0.1124],[0.743227 0.743357 0.741422 0.742002 0.745029 0.742880 0.738246 0.738115 0.731817 0.742787 0.734751 0.737704 0.735256 0.736900 0.738190 0.738694 0.745272 0.739984 0.744711 0.740843 0.743777 0.745777 0.740937 0.738302 0.738864 0.734134 0.737799 0.733333 0.737124 0.734976 0.738770 0.739817],[449151 448570 451173 450623 450368 449414 450585 450652 451074 450762 450188 449426 449877 450615 451236 450436 448790 448920 450136 451029 450053 449895 450663 450952 450752 451351 449098 450325 450684 449946 450371 451515],[578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654 578654]
cut_wmma-2,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:1:0_CTA,commit_ccd18_modified_0,1058738,1660424,2171293,0,12334574,1.0000,0.2449,0,2466134,17326464,16777216,261256781,0,23984125,203553534,33681408,0.000251,0.000000,0.048419,0.248657,0.000000,255,10256,[[] [1660422] [] ],[[] [1042808832] [] ],[[] [377.9966] [] ],[[] [0.06] [] ],[[] [0.63] [] ],[[] [0.01] [] ],[[] [6.06] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [7.75] [] ],[[] [345] [] ],[[] [79] [] ],[[] [50] [] ],[[] [16] [] ],[0.3233 0.3232 0.3235 0.3236 0.3264 0.3272 0.3254 0.3256 0.3235 0.3226 0.3292 0.3272 0.3291 0.3294 0.3222 0.322 0.3232 0.323 0.3238 0.3241 0.3279 0.3262 0.3258 0.326 0.323 0.3234 0.3278 0.3296 0.3294 0.3295 0.3223 0.3226],[0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1055 0.1056 0.1055 0.1056 0.1056 0.1055 0.1055 0.1055 0.1056],[0.620838 0.618090 0.622193 0.620074 0.615739 0.619978 0.609809 0.612599 0.616747 0.620369 0.616705 0.614440 0.609301 0.611833 0.617754 0.616755 0.617904 0.621852 0.620261 0.624309 0.619195 0.616264 0.613124 0.611558 0.620520 0.617246 0.613966 0.616139 0.612299 0.609339 0.615977 0.619345],[976573 975812 972969 972561 972413 973422 975214 975916 975284 974958 977797 976075 977343 977588 976063 974976 975554 976064 973074 973157 973591 971912 975623 975548 975127 974982 976389 977785 977491 977127 975394 975812],[1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785 1246785]
cut_sgemm-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA,commit_ccd18_modified_0,1058733,1280719,93796,0,556463,1.0000,0.2574,0,45270,9487744,8388608,6623,58162412,8340645,95903580,208011264,0.328146,0.000000,0.137243,0.000000,0.000000,122,16400,[[] [1280717] [] ],[[] [6580076544] [] ],[[] [268.3528] [] ],[[] [0.41] [] ],[[] [0.76] [] ],[[] [0.00] [] ],[[] [3.25] [] ],[[] [0.67] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [6.72] [] ],[[] [410] [] ],[[] [179] [] ],[[] [30] [] ],[[] [80] [] ],[0.4502 0.4507 0.4515 0.4473 0.4507 0.4486 0.4514 0.449 0.4484 0.4533 0.4442 0.4483 0.449 0.4456 0.4507 0.4448 0.4409 0.4432 0.4522 0.4574 0.4479 0.4498 0.4544 0.4534 0.4479 0.448 0.4491 0.4483 0.4517 0.4524 0.4452 0.4485],[0.07741 0.0774 0.07719 0.07717 0.07701 0.07701 0.07732 0.07732 0.07707 0.07707 0.07742 0.07743 0.07761 0.07762 0.07717 0.07716 0.0772 0.07722 0.07698 0.07698 0.07713 0.07712 0.07724 0.07725 0.07707 0.07707 0.07747 0.07754 0.07735 0.07734 0.07712 0.07712],[0.104190 0.106736 0.104282 0.106144 0.119228 0.107633 0.107285 0.107090 0.104699 0.102251 0.113155 0.105398 0.102508 0.106426 0.098073 0.106216 0.110508 0.117425 0.113920 0.107496 0.099566 0.109225 0.107709 0.108433 0.102161 0.102486 0.107268 0.109037 0.107452 0.102182 0.106087 0.104393],[807273 807617 808051 807637 810028 808157 808608 807556 808901 809202 806589 806946 807171 807259 808221 808171 807308 807827 811132 810908 806878 808701 809116 808977 807685 807956 807910 808132 808214 807963 807419 808150],[961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670 961670]
cut_sgemm-1,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:1:0_CTA,commit_ccd18_modified_0,1058732,1897815,190954,0,220429,1.0000,0.3204,0,143451,9487744,8388608,41055,51759338,26345104,270574883,208011264,0.221445,0.000000,0.092617,0.000000,0.000000,122,16400,[[] [1897813] [] ],[[] [6580076544] [] ],[[] [181.0948] [] ],[[] [0.09] [] ],[[] [0.70] [] ],[[] [0.00] [] ],[[] [2.94] [] ],[[] [0.38] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [5.35] [] ],[[] [423] [] ],[[] [162] [] ],[[] [38] [] ],[[] [89] [] ],[0.437 0.4347 0.4314 0.4344 0.4314 0.4349 0.4336 0.4347 0.4324 0.4326 0.4355 0.4345 0.4329 0.4337 0.4304 0.4298 0.4345 0.4322 0.4337 0.4355 0.4309 0.4322 0.4345 0.4352 0.433 0.4312 0.4349 0.4337 0.4359 0.4357 0.434 0.4334],[0.06523 0.06523 0.06523 0.06523 0.06522 0.06522 0.06523 0.06523 0.06523 0.06523 0.06523 0.06523 0.06523 0.06523 0.06523 0.06523 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522 0.06522],[0.046526 0.049258 0.049534 0.045743 0.051525 0.051785 0.046230 0.047445 0.045901 0.050006 0.045700 0.048118 0.048361 0.047789 0.049262 0.049119 0.045033 0.049811 0.046921 0.048238 0.046089 0.044561 0.047136 0.045734 0.048455 0.050418 0.046106 0.049382 0.044175 0.043717 0.045448 0.045977],[1222227 1221346 1220537 1220850 1221505 1221932 1221712 1221291 1220478 1220780 1221502 1221243 1220632 1221804 1220088 1220703 1221552 1220846 1221763 1221675 1219687 1219966 1221069 1220466 1220861 1220825 1221728 1222153 1221266 1221112 1220445 1220525],[1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038 1425038]
parb_lbm-0,V100-PAE-CONCURRENT-SEP_RW-INTRA_0:2:0_CTA,commit_892f4_modified_1,1094364,731264,12111362,0,5576525,1.0000,0.9996,1240,0,11254960,5400000,1310344,7607893,21339781,187688328,15543906,0.045534,0.000000,0.006340,0.000000,0.002530,40,0,[[] [731262] [] ],[[] [427778603] [] ],[[] [557.5289] [] ],[[] [7.84] [] ],[[] [0.85] [] ],[[] [0.01] [] ],[[] [20.40] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.62] [] ],[[] [0.02] [] ],[[] [30.78] [] ],[[] [976] [] ],[[] [230] [] ],[[] [10] [] ],[[] [286] [] ],[0.6082 0.6092 0.6092 0.6091 0.6081 0.6093 0.6092 0.6093 0.6092 0.6092 0.6089 0.6092 0.6095 0.6091 0.609 0.6092 0.6087 0.6093 0.6092 0.6092 0.6094 0.609 0.6093 0.609 0.6093 0.6093 0.6093 0.6093 0.6093 0.6095 0.6092 0.6098],[0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6033 0.6034 0.6033 0.6033 0.6034 0.6033 0.6033 0.6033 0.6034 0.6034 0.6033 0.6033 0.6034 0.6034 0.6034 0.6034],[0.071383 0.070559 0.071561 0.071289 0.071276 0.069704 0.070447 0.071089 0.070389 0.070301 0.069056 0.070266 0.070509 0.071319 0.070194 0.069602 0.070628 0.069269 0.068985 0.069760 0.070161 0.070448 0.070054 0.070078 0.069638 0.070427 0.069602 0.070297 0.071180 0.070072 0.071746 0.069986],[4635 5953 6059 5827 4637 5959 5860 6030 6107 5892 5596 5867 6147 5719 5795 5817 5340 5859 5818 5854 5848 5447 5899 5420 5670 5758 5794 5892 5712 5836 5591 6222],[549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094 549094]
