pair_str,config,gpusim_version,jobId,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,ipc,sm_clusters,runtime,instructions,l2_bw,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_12_MEM-MIG_20_SM,commit_846e7_modified_0,1008552,1381,0,204836,0.9944,0.3397,0,0,215512,169912,1120,764652,101193,869291,0,2919.8340,20,[[] [30818] [] ],[[] [89989280] [] ],[[] [268.5334] [] ],[[] [394] [] ],[[] [225] [] ],[[] [20] [] ],[[] [12] [] ],[0.264 0.2653 0.2639 0.2636 0.2624 0.2679 0.2539 0.2527 0.266 0.2669 0.2646 0.2705],[0.1422 0.1413 0.1418 0.1416 0.1367 0.1378 0.1354 0.1365 0.1425 0.1429 0.1425 0.142],[0.791635 0.785741 0.760771 0.760196 0.721722 0.717510 0.706767 0.725275 0.754498 0.751868 0.749625 0.714608],[14387 14415 14341 14490 14656 14400 14100 13962 14683 14526 14847 14769],[21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831 21831]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_3_MEM-MIG_5_SM,commit_846e7_modified_0,1008549,0,0,184316,0.9637,0.5226,0,0,208768,164728,229,633038,23159,481030,0,837.4368,5,[[] [107456] [] ],[[] [89989280] [] ],[[] [74.6044] [] ],[[] [316] [] ],[[] [96] [] ],[[] [20] [] ],[[] [45] [] ],[0.4747 0.4718 0.4676],[0.4023 0.4018 0.4022],[0.453797 0.453479 0.456563],[18117 17641 16735],[76116 76116 76116 76116 76116 76116]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_24_MEM-MIG_40_SM,commit_846e7_modified_0,1008556,2100,0,222032,0.9933,0.1997,0,0,218160,170480,2679,1034334,300858,1094701,0,5034.3652,40,[[] [17873] [] ],[[] [89989280] [] ],[[] [468.7151] [] ],[[] [387] [] ],[[] [254] [] ],[[] [11] [] ],[[] [8] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan],[0.0003159 0 0 0 0 0 0 0 0.0006319 0.0006319 0.0006319 0.0006319 0 0 0.0006319 0.0006319 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan],[12643 12661 12661 12661 12661 12661 12661 12661 12635 12635 12635 12635 12661 12661 12635 12635 12661 12661 12661 12661 12661 12661 12661 12661],[12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_6_MEM-MIG_10_SM,commit_846e7_modified_0,1008550,786,0,191956,0.9848,0.4940,0,0,212704,168144,567,679782,50319,623888,0,1595.1021,10,[[] [56414] [] ],[[] [89989280] [] ],[[] [144.7838] [] ],[[] [347] [] ],[[] [142] [] ],[[] [22] [] ],[[] [28] [] ],[0.4278 0.4268 0.4244 0.4255 0.4282 0.4255],[0.3375 0.3369 0.3372 0.3372 0.3374 0.3375],[0.640845 0.630413 0.617796 0.629981 0.605696 0.609694],[13520 13466 13299 13445 13474 13479],[39961 39961 39961 39961 39961 39961 39961 39961 39961 39961 39961 39961]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_21_MEM-MIG_35_SM,commit_846e7_modified_0,1008555,2132,0,218296,0.9929,0.2051,0,0,217040,169880,2189,981482,271152,960333,0,4608.6899,35,[[] [19524] [] ],[[] [89989280] [] ],[[] [426.8765] [] ],[[] [363] [] ],[[] [230] [] ],[[] [10] [] ],[[] [8] [] ],[0.1289 0.09284 0.1216 0.09412 0.08254 0.08904 0.09011 0.1141 0.131 0.1117 0.1026 0.1194 0.09756 0.1136 0.07937 0.0813 0.09816 0.09581 0.1078 0.1255 0.1075],[0.008965 0.00347 0.002892 0.0005784 0.00376 0.00376 0.005206 0.004049 0.00376 0.003181 0.002024 0.002892 0.002314 0.001446 0.002892 0.002892 0.002314 0.002314 0.00723 0.008387 0.006652],[0.669811 0.714286 0.700000 0.875000 0.557692 0.461538 0.515152 0.700000 0.826923 0.840909 0.571429 0.650000 0.562500 0.750000 0.558824 0.647059 0.843750 0.687500 0.693182 0.602041 0.750000],[13405 13608 13713 13807 13487 13468 13421 13623 13697 13709 13693 13695 13681 13777 13579 13618 13726 13723 13426 13366 13493],[13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831 13831]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_18_MEM-MIG_30_SM,commit_846e7_modified_0,1008554,1903,0,214516,0.9923,0.2101,0,0,216736,170096,1826,912839,184668,867935,0,4161.5464,30,[[] [21622] [] ],[[] [89989280] [] ],[[] [384.9164] [] ],[[] [347] [] ],[[] [215] [] ],[[] [9] [] ],[[] [4] [] ],[0.1316 0.1323 0.1074 0.1315 0.1275 0.1272 0.1559 0.1394 0.1442 0.1498 0.1219 0.114 0.127 0.1395 0.1415 0.129 0.1297 0.1314],[0.00679 0.005745 0.006529 0.007573 0.009662 0.009924 0.01071 0.01123 0.006006 0.006006 0.005484 0.005745 0.00914 0.008618 0.009401 0.01097 0.007834 0.008357],[0.826531 0.743902 0.820000 0.758621 0.816176 0.850000 0.778571 0.837838 0.762500 0.687500 0.820513 0.768293 0.835938 0.716667 0.724638 0.820988 0.771930 0.704918],[15044 15070 15028 15014 14935 14919 14885 14886 15072 15071 15092 15062 14943 14956 14893 14838 14969 14973],[15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317 15317]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_15_MEM-MIG_25_SM,commit_846e7_modified_0,1008553,1866,0,210076,0.9943,0.2495,0,0,216528,170408,1398,841461,140236,836301,0,3578.8140,25,[[] [25143] [] ],[[] [89989280] [] ],[[] [330.6954] [] ],[[] [364] [] ],[[] [221] [] ],[[] [12] [] ],[[] [6] [] ],[0.158 0.1795 0.1656 0.1647 0.1827 0.1723 0.1755 0.1868 0.176 0.1733 0.1914 0.1762 0.1687 0.1809 0.1685],[0.04267 0.04806 0.04784 0.04447 0.05098 0.04986 0.05076 0.0539 0.0512 0.04739 0.05547 0.0521 0.04828 0.05008 0.04806],[0.812500 0.760870 0.773279 0.802131 0.818425 0.805556 0.831565 0.826972 0.858073 0.817549 0.803874 0.826531 0.784960 0.777202 0.797260],[15518 15436 15313 15529 15242 15196 15395 15271 15412 15514 15176 15203 15268 15481 15290],[17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811 17811]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_9_MEM-MIG_15_SM,commit_846e7_modified_0,1008551,1182,0,198796,0.9968,0.4305,0,0,216152,171072,761,727127,75504,759104,0,2266.5042,15,[[] [39702] [] ],[[] [89989280] [] ],[[] [209.0634] [] ],[[] [380] [] ],[[] [177] [] ],[[] [27] [] ],[[] [33] [] ],[0.3616 0.3712 0.3729 0.3677 0.3745 0.3708 0.3749 0.371 0.363],[0.2472 0.2461 0.2455 0.2459 0.2471 0.2459 0.2465 0.2456 0.2454],[0.430567 0.458476 0.444368 0.406713 0.413395 0.427887 0.429813 0.427643 0.411351],[12139 12386 12640 12244 12841 12473 12786 12546 12289],[28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123 28123]
nvd_fdtd3d-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_12_MEM-MIG_20_SM,commit_846e7_modified_0,1008608,11660,0,16996972,0.8672,0.9138,0,0,21472320,13119776,14009,2324437,125746862,531263696,0,606.2821,20,[[] [5233105] [] ],[[] [3172739184] [] ],[[] [157.5617] [] ],[[] [371] [] ],[[] [83] [] ],[[] [9] [] ],[[] [158] [] ],[0.4503 0.4501 0.4503 0.45 0.4396 0.4398 0.4398 0.4397 0.4277 0.4278 0.4279 0.4278],[0.4314 0.4312 0.4313 0.4314 0.4202 0.4202 0.4202 0.42 0.4085 0.4088 0.4087 0.4087],[0.063681 0.064143 0.064161 0.063790 0.068563 0.068567 0.068312 0.068150 0.072411 0.072112 0.072484 0.072024],[185536 185352 187203 183648 197853 198884 199532 200034 202434 202170 204317 202065],[3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784 3706784]
nvd_fdtd3d-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_3_MEM-MIG_5_SM,commit_846e7_modified_0,1008605,161373,0,16976452,0.8672,0.9607,0,0,21463800,13119776,18408,2263809,106052628,628993459,0,146.9992,5,[[] [21583378] [] ],[[] [3172739184] [] ],[[] [38.1873] [] ],[[] [454] [] ],[[] [84] [] ],[[] [8] [] ],[[] [225] [] ],[0.4485 0.4461 0.4436],[0.4405 0.4375 0.435],[0.053426 0.052772 0.053140],[358458 384751 393544],[15288227 15288227 15288227 15288227 15288227 15288227]
