pair_str,config,gpusim_version,jobId,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,ipc,sm_clusters,runtime,instructions,l2_bw,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_16_MEM-MIG_40_SM,commit_ccd18_modified_1,1065715,1491,0,56370,0.9931,0.2018,0,0,215880,170280,1083,577094,185739,848844,0,2974.7539,40,[[] [30249] [] ],[[] [89989280] [] ],[[] [258.5222] [] ],[[] [246] [] ],[[] [72] [] ],[[] [11] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356],[0.0001761 0 0 0 0 0 0 0 0.0003522 0.0003522 0.0003522 0.0003522 0 0 0.0003522 0.0003522],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.625000 0.500000],[22697 22715 22715 22715 22715 22715 22715 22715 22689 22689 22689 22689 22715 22715 22690 22689],[22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715 22715]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_4_MEM-MIG_10_SM,commit_ccd18_modified_1,1065712,0,0,44575,0.9607,0.5252,0,0,207760,163720,293,357647,47771,751885,0,834.0140,10,[[] [107897] [] ],[[] [89989280] [] ],[[] [69.7508] [] ],[[] [305] [] ],[[] [55] [] ],[[] [10] [] ],[[] [35] [] ],[0.4124 0.4215 0.4111 0.4128],[0.2771 0.2771 0.2777 0.2775],[0.377889 0.369150 0.364037 0.356529],[34387 35544 33323 33837],[81019 81019 81019 81019 81019 81019 81019 81019]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_12_MEM-MIG_30_SM,commit_ccd18_modified_1,1065714,1077,0,52798,0.9939,0.3388,0,0,215744,170664,847,486004,142601,871300,0,2308.4829,30,[[] [38980] [] ],[[] [89989280] [] ],[[] [200.4903] [] ],[[] [267] [] ],[[] [64] [] ],[[] [13] [] ],[[] [9] [] ],[0.2331 0.2286 0.2243 0.2224 0.2187 0.216 0.2159 0.2213 0.237 0.2343 0.2389 0.2302],[0.1054 0.1052 0.1056 0.1055 0.1026 0.1026 0.1021 0.1023 0.1066 0.107 0.1063 0.1063],[0.780942 0.786068 0.757759 0.781653 0.699219 0.709816 0.711531 0.694062 0.770387 0.748315 0.730045 0.769722],[21429 21554 21322 21301 20511 20723 20680 20798 21571 21420 21697 21316],[29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271 29271]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_8_MEM-MIG_20_SM,commit_ccd18_modified_1,1065713,647,0,48641,0.9784,0.4725,0,0,212160,167600,524,404384,93542,806338,0,1604.9452,20,[[] [56068] [] ],[[] [89989280] [] ],[[] [137.0708] [] ],[[] [294] [] ],[[] [50] [] ],[[] [19] [] ],[[] [24] [] ],[0.4471 0.4538 0.4585 0.4607 0.4818 0.4849 0.4743 0.4722],[0.2114 0.2113 0.2132 0.2138 0.2181 0.2179 0.2174 0.2174],[0.517511 0.477586 0.502272 0.514788 0.526330 0.496871 0.505121 0.484912],[27180 27278 27421 26889 27415 27268 27017 26962],[42102 42102 42102 42102 42102 42102 42102 42102 42102 42102 42102 42102 42102 42102 42102 42102]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_28_MEM-MIG_70_SM,commit_ccd18_modified_1,1065718,2163,0,67929,0.9978,0.2010,0,0,216728,169568,2109,800574,414076,1171829,0,4493.3979,70,[[] [20025] [] ],[[] [89989280] [] ],[[] [392.0477] [] ],[[] [273] [] ],[[] [100] [] ],[[] [10] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan],[0.000266 0 0 0 0 0 0 0 0 0 0 0 0.000532 0.000532 0.000532 0.000532 0 0 0.000532 0.000532 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.625000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan],[15020 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15012 15012 15012 15012 15038 15038 15012 15012 15038 15038 15038 15038 15038 15038 15038 15038],[15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038 15038]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_24_MEM-MIG_60_SM,commit_ccd18_modified_1,1065717,1825,0,64120,0.9983,0.1995,0,0,218408,171768,1775,709768,293258,1083183,0,4061.4380,60,[[] [22155] [] ],[[] [89989280] [] ],[[] [357.1028] [] ],[[] [267] [] ],[[] [91] [] ],[[] [14] [] ],[[] [8] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan],[0.0002404 0 0 0 0 0 0 0 0.0004809 0.0004809 0.0004809 0.0004809 0 0 0.0004809 0.0004809 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan],[16619 16637 16637 16637 16637 16637 16637 16637 16611 16611 16611 16611 16637 16637 16611 16611 16637 16637 16637 16637 16637 16637 16637 16637],[16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637 16637]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_32_MEM-MIG_80_SM,commit_ccd18_modified_1,1065719,2450,0,70550,0.9981,0.1997,0,0,218184,170504,2663,858241,528549,1308679,0,4868.4961,80,[[] [18482] [] ],[[] [89989280] [] ],[[] [427.6321] [] ],[[] [277] [] ],[[] [100] [] ],[[] [14] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[0.0002882 0 0 0 0 0 0 0 0.0005764 0.0005764 0.0005764 0.0005764 0 0 0.0005764 0.0005764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.625000 0.500000 0.500000 0.625000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[13861 13879 13879 13879 13879 13879 13879 13879 13853 13853 13853 13853 13879 13879 13853 13853 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879],[13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_20_MEM-MIG_50_SM,commit_ccd18_modified_1,1065716,1658,0,60199,0.9955,0.2012,0,0,216720,170600,1422,645751,242752,1010879,0,3529.5449,50,[[] [25494] [] ],[[] [89989280] [] ],[[] [307.9338] [] ],[[] [263] [] ],[[] [90] [] ],[[] [10] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 0.1 -nan 0.1356 0.1524 0.1455 0.1143 -nan -nan],[0.0002089 0 0 0 0 0 0 0 0.0004179 0.0004179 0.0004179 0.0004179 0.0002089 0 0.0004179 0.0008358 0.0004179 0.0004179 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 0.250000 -nan 0.500000 0.500000 0.625000 0.625000 -nan -nan],[19126 19144 19144 19144 19144 19144 19144 19144 19118 19118 19118 19118 19125 19144 19118 19094 19120 19119 19144 19144],[19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144 19144]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_16_MEM-MIG_40_SM,commit_ccd18_modified_1,1065771,8330,0,10638625,0.9925,0.6980,0,0,24572904,16220360,8260,207144,29910808,663345672,0,567.2556,40,[[] [5593136] [] ],[[] [3172739184] [] ],[[] [159.1467] [] ],[[] [314] [] ],[[] [77] [] ],[[] [8] [] ],[[] [40] [] ],[0.3043 0.3046 0.3042 0.3047 0.3039 0.3047 0.3049 0.3042 0.3043 0.3043 0.3042 0.3042 0.304 0.3045 0.3039 0.3047],[0.2341 0.234 0.234 0.234 0.234 0.234 0.234 0.234 0.2341 0.234 0.234 0.234 0.234 0.234 0.234 0.234],[0.310365 0.310528 0.309956 0.310320 0.310190 0.311452 0.309611 0.311060 0.311385 0.310288 0.308802 0.310514 0.311279 0.310664 0.310158 0.310877],[1287331 1291412 1287514 1290266 1285562 1288887 1294261 1285332 1288843 1287543 1288144 1288194 1284035 1292056 1284664 1293299],[4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794 4199794]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_4_MEM-MIG_10_SM,commit_ccd18_modified_1,1065768,5646,0,10611393,0.9931,0.8175,0,0,24579570,16235546,3862,217628,46057902,747113592,0,138.5949,10,[[] [22892175] [] ],[[] [3172739184] [] ],[[] [38.8941] [] ],[[] [334] [] ],[[] [68] [] ],[[] [8] [] ],[[] [68] [] ],[0.3416 0.3413 0.3414 0.3412],[0.2801 0.2801 0.2801 0.2801],[0.180848 0.181225 0.181110 0.181238],[3984010 3976302 3977028 3971546],[17189355 17189355 17189355 17189355 17189355 17189355 17189355 17189355]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_12_MEM-MIG_30_SM,commit_ccd18_modified_1,1065770,6730,0,10640338,0.9933,0.8033,0,0,24588932,16239228,4752,209925,60215803,766093704,0,388.6344,30,[[] [8163813] [] ],[[] [3172739184] [] ],[[] [109.1046] [] ],[[] [326] [] ],[[] [65] [] ],[[] [8] [] ],[[] [69] [] ],[0.2731 0.2733 0.2732 0.2732 0.2678 0.2678 0.2679 0.2677 0.2618 0.2617 0.2616 0.2617],[0.2609 0.2611 0.2611 0.261 0.2531 0.2531 0.2531 0.253 0.2468 0.2466 0.2467 0.2468],[0.159513 0.159309 0.159234 0.159951 0.166129 0.164790 0.165138 0.165221 0.169882 0.170708 0.170436 0.169479],[440564 442020 441792 443563 530582 529090 530245 530475 566325 568075 565004 563311],[6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073 6130073]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_8_MEM-MIG_20_SM,commit_ccd18_modified_1,1065769,4899,0,10632777,0.9934,0.8223,0,0,24589123,16242259,3759,212534,46691621,758126750,0,265.3044,20,[[] [11958863] [] ],[[] [3172739184] [] ],[[] [74.4817] [] ],[[] [328] [] ],[[] [67] [] ],[[] [8] [] ],[[] [50] [] ],[0.3024 0.3022 0.3025 0.3021 0.3025 0.3023 0.3022 0.3025],[0.2702 0.2702 0.2702 0.2701 0.2702 0.2702 0.2702 0.2702],[0.208538 0.208327 0.208187 0.208363 0.208062 0.208452 0.208275 0.208359],[1395304 1387899 1396817 1387160 1394725 1387846 1390586 1396275],[8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713 8979713]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_28_MEM-MIG_70_SM,commit_ccd18_modified_1,1065774,11736,0,10631396,0.9927,0.6689,0,0,24585789,16224725,7943,200306,31802272,649747939,0,918.5009,70,[[] [3454256] [] ],[[] [3172739184] [] ],[[] [257.8256] [] ],[[] [301] [] ],[[] [73] [] ],[[] [8] [] ],[[] [32] [] ],[0.2744 0.2742 0.2731 0.274 0.2742 0.2731 0.2744 0.2737 0.274 0.2742 0.2744 0.2742 0.2741 0.2754 0.2754 0.2755 0.2746 0.2746 0.2747 0.2744 0.2746 0.2744 0.2745 0.2749 0.2746 0.2742 0.274 0.2741],[0.2055 0.2054 0.2055 0.2055 0.2057 0.2057 0.2058 0.2057 0.2054 0.2054 0.2055 0.2054 0.2056 0.2056 0.2055 0.2056 0.2051 0.2052 0.2052 0.2051 0.2054 0.2052 0.2052 0.2053 0.2052 0.205 0.205 0.2052],[0.347220 0.347886 0.348104 0.347939 0.352982 0.355767 0.353417 0.351006 0.351406 0.351284 0.353828 0.351579 0.354425 0.353267 0.352714 0.352658 0.352135 0.349097 0.352674 0.350891 0.350571 0.352563 0.350983 0.353998 0.348265 0.348051 0.350124 0.348700],[856811 857102 848863 856786 858159 848825 855981 852374 859518 859107 858788 858941 855376 868064 865081 866482 861591 862686 862789 863449 860200 863158 861193 864677 862825 863196 860561 858920],[2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745 2593745]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_24_MEM-MIG_60_SM,commit_ccd18_modified_1,1065773,10364,0,10646059,0.9931,0.7562,0,0,24592792,16234568,6524,202952,56689856,728707544,0,793.6771,60,[[] [3997517] [] ],[[] [3172739184] [] ],[[] [222.8507] [] ],[[] [309] [] ],[[] [65] [] ],[[] [8] [] ],[[] [37] [] ],[0.2638 0.2636 0.2637 0.2634 0.2634 0.2632 0.2637 0.2636 0.256 0.2558 0.2559 0.2558 0.2558 0.2555 0.2558 0.256 0.2427 0.2425 0.2424 0.2426 0.2422 0.2426 0.2424 0.2427],[0.2504 0.2503 0.2503 0.2504 0.2503 0.2503 0.2503 0.2504 0.2425 0.2425 0.2424 0.2425 0.2424 0.2424 0.2426 0.2425 0.2228 0.2226 0.2226 0.2228 0.2227 0.2228 0.2226 0.2227],[0.285203 0.286757 0.286460 0.285548 0.286233 0.286023 0.286483 0.284898 0.297551 0.296442 0.294737 0.297982 0.295946 0.297228 0.296248 0.297699 0.330110 0.329884 0.332293 0.329883 0.329901 0.330807 0.330976 0.329630],[288485 284311 283835 276298 283284 278630 287891 284645 299338 296871 301164 297953 297350 295932 293821 299264 446290 445811 446941 446738 443922 445347 447245 452313],[3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670 3001670]
