pair_str,config,gpusim_version,jobId,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,ipc,sm_clusters,mem_channels,runtime,instructions,l2_bw,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_12_MEM,commit_846e7_modified_0,1003331,2618,0,222032,0.9977,0.3344,0,0,217696,170016,2630,995942,439652,2037948,0,4263.2783,40,12,[[] [21106] [] ],[[] [89989280] [] ],[[] [396.0735] [] ],[[] [724] [] ],[[] [553] [] ],[[] [22] [] ],[[] [20] [] ],[0.3781 0.3792 0.3797 0.3873 0.365 0.369 0.3709 0.3635 0.3766 0.3845 0.3812 0.3844],[0.1996 0.2023 0.1996 0.2017 0.1883 0.1881 0.1883 0.1867 0.2007 0.2044 0.2007 0.2009],[0.608578 0.607306 0.608712 0.624476 0.643952 0.626059 0.645213 0.633671 0.616956 0.667671 0.664357 0.638739],[8483 8496 8678 8694 9048 9183 8873 9062 8549 8469 8672 8615],[14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951 14951]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_20_MEM,commit_846e7_modified_0,1003333,2274,0,222032,0.9922,0.2011,0,0,216680,169000,2732,1031058,336883,1248167,0,4920.4048,40,20,[[] [18287] [] ],[[] [89989280] [] ],[[] [454.9960] [] ],[[] [450] [] ],[[] [318] [] ],[[] [9] [] ],[[] [8] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan],[0.0003088 0 0 0 0 0 0 0 0.0006176 0.0006176 0.0006176 0.0006176 0 0 0.0006176 0.0006176 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan],[12936 12954 12954 12954 12954 12954 12954 12954 12928 12928 12928 12928 12954 12954 12928 12928 12954 12954 12954 12954],[12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954 12954]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_8_MEM,commit_846e7_modified_0,1003330,28577,0,222032,0.9998,0.4538,0,0,218024,170344,3306,1002600,449458,3538252,0,3436.9353,40,8,[[] [26181] [] ],[[] [89989280] [] ],[[] [319.7785] [] ],[[] [1222] [] ],[[] [877] [] ],[[] [83] [] ],[[] [74] [] ],[0.7687 0.7736 0.7895 0.7812 0.7901 0.7774 0.7779 0.794],[0.448 0.4469 0.446 0.446 0.4473 0.4482 0.4473 0.4473],[0.438204 0.400605 0.379344 0.402096 0.402063 0.398405 0.379192 0.368197],[8644 8685 8643 8752 8707 8517 8673 8844],[18546 18546 18546 18546 18546 18546 18546 18546 18546 18546 18546 18546 18546 18546 18546 18546]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_16_MEM,commit_846e7_modified_0,1003332,1838,0,222032,0.9958,0.2001,0,0,217720,170040,2802,981615,312054,1427361,0,4786.4092,40,16,[[] [18799] [] ],[[] [89989280] [] ],[[] [444.7283] [] ],[[] [530] [] ],[[] [393] [] ],[[] [14] [] ],[[] [8] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356],[0.0003004 0 0 0 0 0 0 0 0.0006007 0.0006007 0.0006007 0.0006007 0 0 0.0006007 0.0006007],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.500000 0.500000],[13299 13317 13317 13317 13317 13317 13317 13317 13291 13291 13291 13291 13317 13317 13291 13291],[13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317 13317]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_24_MEM,commit_846e7_modified_0,1003334,2100,0,222032,0.9933,0.1997,0,0,218160,170480,2679,1034334,300858,1094701,0,5034.3652,40,24,[[] [17873] [] ],[[] [89989280] [] ],[[] [468.7151] [] ],[[] [387] [] ],[[] [254] [] ],[[] [11] [] ],[[] [8] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan],[0.0003159 0 0 0 0 0 0 0 0.0006319 0.0006319 0.0006319 0.0006319 0 0 0.0006319 0.0006319 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.500000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan],[12643 12661 12661 12661 12661 12661 12661 12661 12635 12635 12635 12635 12661 12661 12635 12635 12661 12661 12661 12661 12661 12661 12661 12661],[12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661 12661]
rod_hotspot-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_4_MEM,commit_846e7_modified_0,1003329,74430,0,222032,1.0000,0.4989,0,0,218704,171024,18878,1014778,661770,8979482,0,2033.2885,40,4,[[] [44256] [] ],[[] [89989280] [] ],[[] [189.7649] [] ],[[] [2878] [] ],[[] [2485] [] ],[[] [38] [] ],[[] [114] [] ],[0.8487 0.8417 0.8478 0.8569],[0.6861 0.6849 0.6852 0.6852],[0.275546 0.241705 0.238370 0.250085],[6432 6282 6356 6669],[31349 31349 31349 31349 31349 31349 31349 31349]
nvd_fdtd3d-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_12_MEM,commit_846e7_modified_0,1003373,3268999,0,17013576,0.8672,0.9210,7101,0,21483680,13119776,238065,2338183,279616594,775817286,0,792.6311,40,12,[[] [4002792] [] ],[[] [3172739184] [] ],[[] [206.0995] [] ],[[] [508] [] ],[[] [95] [] ],[[] [8] [] ],[[] [200] [] ],[0.5905 0.5903 0.5904 0.5907 0.5764 0.5765 0.5764 0.5765 0.5618 0.562 0.5622 0.5616],[0.5786 0.5785 0.5785 0.5787 0.5642 0.5643 0.5643 0.5642 0.5502 0.5503 0.5501 0.5503],[0.053226 0.054090 0.053785 0.053824 0.059379 0.059636 0.059999 0.059709 0.065710 0.065123 0.065600 0.065887],[70335 70192 70330 70776 73558 72811 71986 73314 72106 73428 75141 71740],[2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312 2835312]
nvd_fdtd3d-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_20_MEM,commit_846e7_modified_0,1003375,10296,0,17013576,0.8672,0.8271,0,0,21483680,13119776,14433,2392981,66482639,452047255,0,1421.4774,40,20,[[] [2231999] [] ],[[] [3172739184] [] ],[[] [369.6119] [] ],[[] [331] [] ],[[] [96] [] ],[[] [11] [] ],[[] [87] [] ],[0.5432 0.544 0.5438 0.544 0.5448 0.5452 0.5446 0.5444 0.5416 0.542 0.5416 0.5422 0.5451 0.5449 0.545 0.5448 0.5417 0.5413 0.5418 0.5421],[0.5203 0.5202 0.5206 0.5208 0.5214 0.5218 0.5216 0.5214 0.5184 0.5184 0.5183 0.5185 0.5217 0.5217 0.5218 0.5218 0.519 0.5186 0.5184 0.5186],[0.115817 0.116676 0.115559 0.115307 0.116096 0.115892 0.115495 0.116637 0.116771 0.116066 0.115971 0.115163 0.116263 0.117094 0.116158 0.116474 0.116230 0.116855 0.117095 0.116407],[82384 84511 83175 83245 84091 83622 82521 82780 83119 84131 83502 84575 83047 82856 82868 82856 82366 81940 83507 84331],[1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000 1581000]
nvd_fdtd3d-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_8_MEM,commit_846e7_modified_0,1003372,22136487,0,17013576,0.8672,0.9368,15251,0,21483680,13119776,336853,2369689,344500132,1289706046,0,541.9501,40,8,[[] [5854299] [] ],[[] [3172739184] [] ],[[] [140.9175] [] ],[[] [899] [] ],[[] [178] [] ],[[] [7] [] ],[[] [251] [] ],[0.5981 0.5981 0.5981 0.598 0.598 0.5982 0.5981 0.5981],[0.5922 0.5923 0.5923 0.5922 0.5923 0.5923 0.5923 0.5923],[0.052988 0.052725 0.052560 0.052229 0.052610 0.052451 0.052149 0.052779],[51174 51367 50618 50869 50968 51337 51431 51251],[4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796 4146796]
nvd_fdtd3d-0,TITANV-SEP_RW-PAE-CONCURRENT-MIG_16_MEM,commit_846e7_modified_0,1003374,29686,0,17013576,0.8672,0.8395,0,0,21483680,13119776,15337,2374400,104269108,540294651,0,1183.5240,40,16,[[] [2680754] [] ],[[] [3172739184] [] ],[[] [307.7393] [] ],[[] [364] [] ],[[] [101] [] ],[[] [10] [] ],[[] [145] [] ],[0.5733 0.5729 0.5734 0.5733 0.5735 0.5735 0.5732 0.5734 0.5734 0.5735 0.5733 0.5731 0.5732 0.5734 0.5736 0.5733],[0.554 0.554 0.554 0.554 0.5541 0.5541 0.5541 0.5541 0.554 0.5542 0.5541 0.5541 0.554 0.5541 0.5541 0.554],[0.093248 0.093608 0.092758 0.093493 0.093206 0.092919 0.093434 0.092705 0.093170 0.093234 0.093298 0.093305 0.093124 0.092954 0.092816 0.093463],[77288 77161 78130 77524 78260 78135 77419 77226 78248 77894 77841 77430 77096 78095 78386 77999],[1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869 1898869]
