pair_str,config,gpusim_version,jobId,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,ipc,sm_clusters,mem_channels,runtime,instructions,l2_bw,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_20_MEM,commit_ccd18_modified_1,1066342,2498,0,69712,0.9979,0.2007,0,0,217128,169448,2851,810915,520566,1551792,0,4710.9873,80,20,[[] [19100] [] ],[[] [89989280] [] ],[[] [411.7929] [] ],[[] [357] [] ],[[] [181] [] ],[[] [13] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan],[0.0002789 0 0 0 0 0 0 0 0.0005578 0.0005578 0.0005578 0.0005578 0 0 0.0005578 0.0005578 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.625000 -nan -nan 0.625000 0.500000 -nan -nan -nan -nan],[14325 14343 14343 14343 14343 14343 14343 14343 14317 14317 14317 14317 14343 14343 14317 14317 14343 14343 14343 14343],[14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343 14343]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_4_MEM,commit_ccd18_modified_1,1066338,61850,0,69087,1.0000,0.4980,0,0,219084,171404,8685,755373,533521,9128053,0,2049.7297,80,4,[[] [43901] [] ],[[] [89989280] [] ],[[] [180.7726] [] ],[[] [2641] [] ],[[] [2254] [] ],[[] [19] [] ],[[] [117] [] ],[0.8258 0.835 0.8282 0.8252],[0.6498 0.6504 0.6504 0.6502],[0.285318 0.248754 0.261325 0.276686],[7645 8058 7722 7504],[32966 32966 32966 32966 32966 32966 32966 32966]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_16_MEM,commit_ccd18_modified_1,1066341,2188,0,69517,0.9992,0.1993,0,0,218600,170920,2777,813735,439280,1665800,0,4681.5771,80,16,[[] [19220] [] ],[[] [89989280] [] ],[[] [411.9962] [] ],[[] [403] [] ],[[] [220] [] ],[[] [20] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356],[0.0002771 0 0 0 0 0 0 0 0.0005543 0.0005543 0.0005543 0.0005543 0 0 0.0005543 0.0005543],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.625000 -nan -nan 0.500000 0.500000],[14415 14433 14433 14433 14433 14433 14433 14433 14407 14407 14407 14407 14433 14433 14407 14407],[14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433 14433]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_8_MEM,commit_ccd18_modified_1,1066339,35317,0,69211,0.9999,0.4510,0,0,219384,171704,3901,786229,553922,3811228,0,3400.0559,80,8,[[] [26465] [] ],[[] [89989280] [] ],[[] [300.2821] [] ],[[] [1087] [] ],[[] [709] [] ],[[] [64] [] ],[[] [70] [] ],[0.7543 0.7927 0.75 0.7522 0.7834 0.7886 0.7812 0.761],[0.4136 0.4134 0.4126 0.4124 0.4134 0.413 0.4175 0.417],[0.436501 0.439361 0.437103 0.420296 0.453793 0.440811 0.412452 0.445147],[9901 10244 9790 9859 9958 10080 10025 10065],[19873 19873 19873 19873 19873 19873 19873 19873 19873 19873 19873 19873 19873 19873 19873 19873]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_32_MEM,commit_ccd18_modified_1,1066345,2450,0,70550,0.9981,0.1997,0,0,218184,170504,2663,858241,528549,1308679,0,4868.4961,80,32,[[] [18482] [] ],[[] [89989280] [] ],[[] [427.6321] [] ],[[] [277] [] ],[[] [100] [] ],[[] [14] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[0.0002882 0 0 0 0 0 0 0 0.0005764 0.0005764 0.0005764 0.0005764 0 0 0.0005764 0.0005764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.625000 0.500000 0.500000 0.625000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[13861 13879 13879 13879 13879 13879 13879 13879 13853 13853 13853 13853 13879 13879 13853 13853 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879],[13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_28_MEM,commit_ccd18_modified_1,1066344,2325,0,70259,0.9979,0.2001,0,0,217784,170104,2671,843737,490685,1362187,0,4855.6240,80,28,[[] [18531] [] ],[[] [89989280] [] ],[[] [425.7195] [] ],[[] [295] [] ],[[] [122] [] ],[[] [11] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan],[0.0002874 0 0 0 0 0 0 0 0 0 0 0 0.0005749 0.0005749 0.0005749 0.0005749 0 0 0.0005749 0.0005749 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.625000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan],[13898 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13890 13890 13890 13890 13916 13916 13890 13890 13916 13916 13916 13916 13916 13916 13916 13916],[13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916 13916]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_24_MEM,commit_ccd18_modified_1,1066343,2316,0,69768,0.9984,0.2000,0,0,217872,170192,2596,830634,482134,1419844,0,4826.9741,80,24,[[] [18641] [] ],[[] [89989280] [] ],[[] [423.3783] [] ],[[] [316] [] ],[[] [137] [] ],[[] [16] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan],[0.0002858 0 0 0 0 0 0 0 0.0005715 0.0005715 0.0005715 0.0005715 0 0 0.0005715 0.0005715 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.500000 0.500000 0.625000 -nan -nan 0.500000 0.625000 -nan -nan -nan -nan -nan -nan -nan -nan],[13980 13998 13998 13998 13998 13998 13998 13998 13972 13972 13972 13972 13998 13998 13972 13973 13998 13998 13998 13998 13998 13998 13998 13998],[13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998 13998]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW-MIG_12_MEM,commit_ccd18_modified_1,1066340,2429,0,69622,0.9996,0.3325,0,0,219312,171632,2885,809569,517204,2206034,0,4224.2539,80,12,[[] [21301] [] ],[[] [89989280] [] ],[[] [372.9570] [] ],[[] [559] [] ],[[] [342] [] ],[[] [25] [] ],[[] [23] [] ],[0.3991 0.3934 0.3922 0.3969 0.377 0.3754 0.381 0.3659 0.3849 0.3915 0.3998 0.396],[0.1898 0.1885 0.1858 0.187 0.1743 0.173 0.1733 0.1738 0.1885 0.1885 0.1905 0.189],[0.643965 0.645897 0.669632 0.647601 0.633198 0.643702 0.671545 0.677485 0.680107 0.642857 0.680995 0.632118],[9911 9969 10048 10179 10660 10740 10758 10587 9894 9754 10173 10159],[15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996 15996]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_20_MEM,commit_ccd18_modified_1,1066398,21675,0,10640754,0.9924,0.7450,0,0,24581698,16217794,5437,198149,65849756,736895894,0,989.8993,80,20,[[] [3205111] [] ],[[] [3172739184] [] ],[[] [277.8211] [] ],[[] [321] [] ],[[] [72] [] ],[[] [8] [] ],[[] [55] [] ],[0.3769 0.3769 0.3772 0.3774 0.3769 0.3767 0.3763 0.3771 0.3732 0.3729 0.3733 0.3731 0.3771 0.378 0.3775 0.3776 0.3749 0.3753 0.3749 0.3749],[0.3556 0.3557 0.3558 0.3559 0.356 0.3559 0.3557 0.3561 0.3519 0.3517 0.352 0.3518 0.3565 0.3567 0.3566 0.3564 0.3543 0.3544 0.3538 0.354],[0.238492 0.238193 0.239004 0.238566 0.239723 0.240207 0.241442 0.241783 0.242680 0.243509 0.241515 0.242946 0.240814 0.240412 0.239442 0.240079 0.241412 0.239613 0.241108 0.241129],[207352 208151 210516 208396 206096 204034 202951 206956 209803 211886 211809 210859 201506 206263 205033 205682 205091 207303 208800 207030],[2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666 2406666]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_4_MEM,commit_ccd18_modified_1,1066394,48189738,0,10653337,0.9932,0.8721,86626,0,24600566,16236662,367769,197522,483810090,3095910443,0,259.3712,80,4,[[] [12232426] [] ],[[] [3172739184] [] ],[[] [72.8499] [] ],[[] [1461] [] ],[[] [524] [] ],[[] [7] [] ],[[] [261] [] ],[0.5588 0.5589 0.5589 0.5589],[0.5568 0.5568 0.5568 0.5569],[0.079219 0.079214 0.078954 0.079070],[40211 39931 40675 39289],[9185127 9185127 9185127 9185127 9185127 9185127 9185127 9185127]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_16_MEM,commit_ccd18_modified_1,1066397,37159,0,10643549,0.9920,0.7642,34,0,24571242,16207338,5822,198347,68933079,769958136,0,945.6492,80,16,[[] [3355089] [] ],[[] [3172739184] [] ],[[] [265.2891] [] ],[[] [342] [] ],[[] [76] [] ],[[] [8] [] ],[[] [88] [] ],[0.4539 0.4536 0.4537 0.4535 0.4537 0.4538 0.4539 0.4538 0.4536 0.4537 0.4537 0.4537 0.4537 0.4536 0.4539 0.4536],[0.4348 0.4346 0.4347 0.4345 0.4346 0.4348 0.4346 0.4348 0.4347 0.4347 0.4347 0.4347 0.4347 0.4344 0.4348 0.4345],[0.193847 0.196297 0.194368 0.195278 0.195076 0.195298 0.196028 0.195061 0.194823 0.194740 0.194705 0.195770 0.195053 0.195164 0.193373 0.195970],[139546 140385 140866 141582 140532 140195 141447 139627 140424 140567 139496 140413 140346 141055 141256 141371],[2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282 2519282]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_8_MEM,commit_ccd18_modified_1,1066395,9774961,0,10648517,0.9928,0.8075,19,0,24591656,16227752,68793,197820,159506919,1398902060,0,556.4356,80,8,[[] [5701896] [] ],[[] [3172739184] [] ],[[] [156.2302] [] ],[[] [658] [] ],[[] [135] [] ],[[] [7] [] ],[[] [226] [] ],[0.5467 0.5467 0.5469 0.5466 0.5466 0.5466 0.5467 0.5466],[0.5419 0.542 0.542 0.5418 0.5419 0.5419 0.542 0.5418],[0.084258 0.084263 0.084326 0.083835 0.083891 0.084576 0.083898 0.084717],[47186 45353 46278 44971 45862 45841 45443 45921],[4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460 4281460]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_32_MEM,commit_ccd18_modified_1,1066401,12324,0,10634736,0.9919,0.6514,0,0,24569943,16206039,8725,197767,29457558,639537122,0,1173.3273,80,32,[[] [2704051] [] ],[[] [3172739184] [] ],[[] [329.1438] [] ],[[] [301] [] ],[[] [74] [] ],[[] [8] [] ],[[] [33] [] ],[0.2682 0.2681 0.2684 0.2684 0.2682 0.2684 0.2679 0.2682 0.2688 0.2682 0.2688 0.2686 0.2684 0.2683 0.2681 0.2682 0.2683 0.2685 0.2691 0.2686 0.2686 0.2692 0.2681 0.2681 0.2685 0.2681 0.2684 0.2686 0.2684 0.2686 0.2683 0.2675],[0.2214 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2214 0.2214 0.2216 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2215 0.2214 0.2214 0.2215 0.2214 0.2215 0.2215 0.2215 0.2216 0.2214 0.2214],[0.367816 0.368309 0.366770 0.367248 0.368453 0.366732 0.367774 0.366715 0.369453 0.366419 0.367314 0.366859 0.366897 0.367973 0.366109 0.367959 0.366624 0.369149 0.367019 0.366818 0.368389 0.367039 0.367142 0.366950 0.368595 0.368408 0.369987 0.367403 0.367991 0.367497 0.367337 0.367648],[552011 551649 552927 548900 549677 553599 549490 550284 554605 550100 553566 554283 552749 550266 550740 551570 553979 553121 556285 551451 551260 554882 550495 550367 553779 550217 550824 553671 549919 552831 552272 548432],[2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428 2030428]
nvd_fdtd3d-0,V100-PAE-CONCURRENT-SEP_RW-MIG_28_MEM,commit_ccd18_modified_1,1066400,12784,0,10630737,0.9922,0.6620,0,0,24575996,16212092,7322,198207,33571887,642502304,0,1171.6206,80,28,[[] [2707990] [] ],[[] [3172739184] [] ],[[] [328.7460] [] ],[[] [298] [] ],[[] [71] [] ],[[] [8] [] ],[[] [29] [] ],[0.2873 0.287 0.2866 0.2872 0.287 0.2872 0.2868 0.2869 0.2863 0.2865 0.2869 0.287 0.2873 0.2872 0.2873 0.2867 0.2866 0.2869 0.2872 0.2869 0.287 0.2872 0.2873 0.2872 0.2866 0.2864 0.2865 0.2863],[0.2584 0.2583 0.2584 0.2584 0.2587 0.2587 0.2587 0.2588 0.258 0.2581 0.2579 0.2579 0.2581 0.258 0.2581 0.2581 0.2572 0.2574 0.2573 0.2574 0.2577 0.2577 0.2579 0.258 0.2576 0.2577 0.2576 0.2577],[0.363221 0.361181 0.363157 0.361440 0.362865 0.361057 0.365382 0.364508 0.364821 0.365871 0.367260 0.365338 0.363555 0.361936 0.361445 0.361830 0.368274 0.366796 0.366185 0.365902 0.362722 0.363674 0.361664 0.362354 0.361926 0.361845 0.360301 0.362190],[350603 349784 345980 351586 347942 349177 347147 346595 351525 352081 355552 356019 353534 354833 353886 349914 360699 359647 366738 360958 355420 356159 353950 358468 354095 351979 353749 351525],[2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386 2033386]
