pair_str,config,gpusim_version,jobId,1_grid_x,1_grid_y,1_grid_z,1_block_x,1_block_y,1_block_z,1_ctas/SM,1_runtime,1_instructions,1_avg_mem_lat,1_avg_core_to_l2,1_avg_l2_to_core,1_avg_mrq_latency,2_grid_x,2_grid_y,2_grid_z,2_block_x,2_block_y,2_block_z,2_ctas/SM,2_runtime,2_instructions,2_avg_mem_lat,2_avg_core_to_l2,2_avg_l2_to_core,2_avg_mrq_latency,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,runtime,l2_rshr_entry_fail,l2_rshr_merge_fail,dram_bw
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_4210675_CYCLE-INTRA_0:1:8_CTA,commit_85e27_modified_0,483138,32,16,1,256,1,1,1,1828251,6580076544,813,444,108,123,1147,1,1,128,1,1,8,79243,52720795,598,128,57,84,11229898,0,53474813,0.6146,0.7225,1873788,9027,813408,[0.752760 0.753094 0.751562 0.751650 0.752890 0.752478 0.751632 0.752490 0.757334 0.757123 0.757141 0.757138 0.757135 0.756664 0.756458 0.756686 0.752389 0.752001 0.751243 0.751647 0.751947 0.751773 0.751580 0.751870]
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_4210675_CYCLE-INTRA_0:1:4_CTA,commit_85e27_modified_0,483140,32,16,1,256,1,1,1,1760338,6580076544,661,397,75,100,1147,1,1,128,1,1,4,93593,52720795,389,67,33,51,866018,0,41560843,0.6269,0.7005,1812235,31,793459,[0.679353 0.679449 0.678237 0.678618 0.679416 0.678930 0.678455 0.678579 0.680028 0.679926 0.679640 0.680193 0.679842 0.679776 0.679089 0.679294 0.679223 0.678431 0.678451 0.679135 0.678630 0.678829 0.678008 0.678645]
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_4210675_CYCLE-INTRA_0:1:2_CTA,commit_85e27_modified_0,483141,32,16,1,256,1,1,1,1731373,6580076544,626,384,70,57,1147,1,1,128,1,1,2,158618,52720795,339,55,21,31,284999,0,27261681,0.6699,0.6367,1791547,0,471327,[0.458825 0.458967 0.458836 0.459007 0.458960 0.458848 0.458706 0.459164 0.458765 0.458877 0.458937 0.458979 0.458552 0.458581 0.458691 0.458929 0.458910 0.458623 0.458721 0.458848 0.458450 0.458780 0.458881 0.458825]
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_4210675_CYCLE-INTRA_0:1:6_CTA,commit_85e27_modified_0,483139,32,16,1,256,1,1,1,1803250,6580076544,746,426,105,123,1147,1,1,128,1,1,6,81198,52720795,477,94,51,70,3162003,0,50030609,0.6149,0.7177,1854008,1185,761768,[0.755996 0.756528 0.755208 0.755504 0.756634 0.756003 0.754744 0.755871 0.760136 0.759539 0.758827 0.759738 0.759338 0.759306 0.758970 0.759461 0.756426 0.755480 0.755345 0.755756 0.756513 0.756181 0.755536 0.755932]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2019580_CYCLE-INTRA_0:10:1_CTA,commit_85e27_modified_0,1110,120,150,1,120,1,1,10,811373,427778603,13838,12633,340,240,51,1,1,256,1,1,1,28709,4044300,382,150,31,50,26070840,0,9082958,0.9860,0.9878,817227,213351,13110,[0.763655 0.760277 0.761602 0.761772 0.762508 0.761340 0.762058 0.761285 0.764361 0.761910 0.763839 0.763110 0.764446 0.760395 0.765793 0.763200 0.761913 0.761025 0.762081 0.760910 0.762027 0.761765 0.760542 0.761547]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2044367_CYCLE-INTRA_0:4:1_CTA,commit_85e27_modified_0,1107,120,150,1,120,1,1,4,835986,427778603,2894,2018,68,238,51,1,1,256,1,1,1,30886,4044300,806,552,32,84,22693110,0,9422840,0.9754,0.9763,842571,158578,11682,[0.735019 0.733880 0.734436 0.733925 0.735194 0.734366 0.733091 0.733364 0.741773 0.737913 0.737523 0.737859 0.738510 0.735128 0.740078 0.736464 0.733617 0.733096 0.734302 0.732880 0.736201 0.734761 0.732888 0.732230]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2085772_CYCLE-INTRA_0:2:1_CTA,commit_85e27_modified_0,1106,120,150,1,120,1,1,2,846911,427778603,1360,616,35,242,51,1,1,256,1,1,1,24649,4044300,645,349,29,148,16544026,0,9527930,0.9749,0.9700,849082,95733,36659,[0.729253 0.727599 0.727345 0.727863 0.729112 0.729027 0.729001 0.728026 0.734961 0.732747 0.732562 0.731802 0.732815 0.729004 0.734328 0.730753 0.728769 0.728339 0.729150 0.726975 0.730233 0.731096 0.728121 0.727323]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2022045_CYCLE-INTRA_0:6:1_CTA,commit_85e27_modified_0,1108,120,150,1,120,1,1,6,816344,427778603,6047,5093,77,234,51,1,1,256,1,1,1,35296,4044300,720,480,63,58,25355509,0,9282720,0.9799,0.9809,818770,247920,15374,[0.761198 0.759333 0.760465 0.758617 0.761884 0.760553 0.760607 0.759827 0.765642 0.762945 0.763921 0.763678 0.766142 0.761333 0.765995 0.762800 0.760445 0.760617 0.760581 0.759522 0.761307 0.760424 0.759881 0.759693]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2022995_CYCLE-INTRA_0:8:1_CTA,commit_85e27_modified_0,1109,120,150,1,120,1,1,8,810201,427778603,9016,8022,131,233,51,1,1,256,1,1,1,33395,4044300,400,186,25,48,25476873,0,9317750,0.9799,0.9796,813310,218899,17140,[0.764931 0.762586 0.764561 0.763363 0.764998 0.763530 0.763132 0.762344 0.767583 0.765514 0.765353 0.765767 0.768055 0.762881 0.768423 0.765110 0.762816 0.763044 0.763834 0.762351 0.763879 0.763358 0.763646 0.761950]
nvd_binomial-0-nvd_blackscholes-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_3707160_CYCLE-INTRA_0:6:8_CTA,commit_85e27_modified_0,488352,1024,1,1,128,1,1,6,1967142,6133492736,475,412,10,105,15625,1,1,128,1,1,8,181140,292000000,1029,371,14,178,42853471,0,24329131,1.0000,0.9992,1986065,875,0,[0.812405 0.812416 0.812365 0.812379 0.812371 0.812337 0.812364 0.812382 0.812354 0.812314 0.812376 0.812365 0.812331 0.812354 0.812337 0.812342 0.812502 0.812496 0.812473 0.812479 0.812433 0.812439 0.812428 0.812440]
