pair_str,config,gpusim_version,jobId,1_grid_x,1_grid_y,1_grid_z,1_block_x,1_block_y,1_block_z,1_ctas/SM,1_runtime,1_instructions,1_avg_mem_lat,1_avg_core_to_l2,1_avg_l2_to_core,1_avg_mrq_latency,2_grid_x,2_grid_y,2_grid_z,2_block_x,2_block_y,2_block_z,2_ctas/SM,2_runtime,2_instructions,2_avg_mem_lat,2_avg_core_to_l2,2_avg_l2_to_core,2_avg_mrq_latency,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,runtime,l2_rshr_entry_fail,l2_rshr_merge_fail,dram_bw
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_5212848_CYCLE-INTER_0:28:52_SM,commit_5c787_modified_0,639712,32,16,1,256,1,1,0,3535787,6580076544,1144,751,45,121,1147,1,1,128,1,1,0,81113,52720795,749,321,41,73,35483037,0,93530008,0.5759,0.8253,3552172,7172,1135850,[0.750619 0.750640 0.749603 0.749903 0.750151 0.749643 0.749371 0.749754 0.751828 0.751457 0.751086 0.751392 0.751546 0.751234 0.751564 0.752031 0.750222 0.749695 0.749325 0.749459 0.749995 0.749649 0.749243 0.749767]
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_6516060_CYCLE-INTER_0:36:44_SM,commit_5c787_modified_0,572846,32,16,1,256,1,1,0,2860808,6580076544,1110,780,76,119,1147,1,1,128,1,1,0,86011,52720795,739,378,58,59,8172969,0,75772129,0.5854,0.7962,2901332,4917,695277,[0.742820 0.743502 0.741890 0.742008 0.742746 0.742290 0.741480 0.742192 0.745226 0.744815 0.744613 0.744567 0.744876 0.744802 0.744210 0.744821 0.741957 0.741165 0.741276 0.741570 0.742079 0.741476 0.741389 0.741509]
cut_sgemm-1-parb_spmv-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_6516060_CYCLE-INTER_0:32:48_SM,commit_7b896_modified_0,118,32,16,1,256,1,1,0,2894436,6580076544,1230,883,68,119,1147,1,1,128,1,1,0,83083,52720795,720,314,49,71,16489113,0,78709149,0.5842,0.8024,2918404,4762,933971,[0.756630 0.757179 0.755742 0.755994 0.756796 0.756356 0.755651 0.755955 0.757964 0.757833 0.757732 0.757561 0.758137 0.757614 0.757568 0.758017 0.756512 0.755942 0.755944 0.755873 0.756497 0.756193 0.755601 0.755718]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2010900_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,681122,120,150,1,120,1,1,0,810702,427778603,4825,3562,475,232,51,1,1,256,1,1,0,17938,4044300,341,85,16,65,22107235,0,9601043,0.9410,0.9868,812459,100526,64305,[0.747774 0.745750 0.747427 0.746481 0.749142 0.746457 0.747227 0.745420 0.749767 0.748447 0.749592 0.748255 0.751129 0.747762 0.750125 0.749560 0.747338 0.746014 0.749096 0.746089 0.749329 0.745953 0.747088 0.745569]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2026487_CYCLE-INTER_0:60:20_SM,commit_5c787_modified_0,572890,120,150,1,120,1,1,0,799403,427778603,8657,7434,369,234,51,1,1,256,1,1,0,21051,4044300,440,134,15,117,24795876,0,9545915,0.9474,0.9878,805183,225452,62095,[0.756986 0.756367 0.756406 0.757453 0.757900 0.756458 0.755452 0.755082 0.758159 0.758962 0.758235 0.760005 0.758294 0.757147 0.759029 0.759236 0.757249 0.756017 0.756483 0.755715 0.755363 0.756308 0.755114 0.756374]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1621190_CYCLE-INTER_0:52:28_SM,commit_5c787_modified_0,639756,120,150,1,120,1,1,0,818738,427778603,4771,3683,309,233,51,1,1,256,1,1,0,18134,4044300,384,107,12,80,22140820,0,9575901,0.9414,0.9888,821024,86202,59878,[0.744118 0.742273 0.742937 0.742693 0.743472 0.742671 0.742779 0.741125 0.744182 0.744170 0.743355 0.743429 0.744612 0.743085 0.745260 0.744540 0.742101 0.743252 0.742971 0.742034 0.746226 0.742724 0.742122 0.742693]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2026487_CYCLE-INTER_0:56:24_SM,commit_7b896_modified_0,162,120,150,1,120,1,1,0,803749,427778603,8268,6837,587,234,51,1,1,256,1,1,0,19124,4044300,399,120,15,88,24784251,0,9523957,0.9468,0.9880,807058,152824,46244,[0.756996 0.757472 0.756757 0.757323 0.758149 0.755976 0.757173 0.756827 0.757507 0.758721 0.758665 0.757897 0.759489 0.756197 0.758887 0.759092 0.755861 0.756352 0.756447 0.756596 0.758320 0.755448 0.756048 0.756101]
parb_lbm-0-rod_heartwall-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_2010900_CYCLE-INTER_0:48:32_SM,commit_5c787_modified_0,659398,120,150,1,120,1,1,0,814964,427778603,5010,3798,419,233,51,1,1,256,1,1,0,17101,4044300,357,90,19,78,22278893,0,9638819,0.9393,0.9866,818718,109655,67272,[0.743544 0.742993 0.742193 0.743032 0.744684 0.743984 0.742750 0.741617 0.747354 0.745934 0.746998 0.745874 0.748333 0.746093 0.746700 0.746398 0.743798 0.742874 0.743750 0.742415 0.743891 0.743631 0.743860 0.743312]
nvd_binomial-0-nvd_blackscholes-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_6382150_CYCLE-INTER_0:40:40_SM,commit_7b896_modified_0,127,1024,1,1,128,1,1,0,2973112,6133492736,420,125,55,113,15625,1,1,128,1,1,0,184934,292000000,1290,554,159,172,47654070,0,38226135,1.0000,0.9997,3076114,2344,0,[0.811374 0.811370 0.811368 0.811359 0.811334 0.811355 0.811381 0.811347 0.811274 0.811282 0.811281 0.811270 0.811274 0.811292 0.811278 0.811289 0.811413 0.811426 0.811432 0.811428 0.811358 0.811362 0.811384 0.811381]
nvd_binomial-0-nvd_blackscholes-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_6382150_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,572928,1024,1,1,128,1,1,0,2962379,6133492736,291,47,82,82,15625,1,1,128,1,1,0,192610,292000000,1369,907,195,97,1376966,0,35673075,1.0000,0.9997,3003441,0,0,[0.782048 0.782040 0.782036 0.782045 0.782039 0.782030 0.782057 0.782038 0.781985 0.781978 0.781990 0.781985 0.781974 0.781983 0.781978 0.781989 0.782113 0.782105 0.782105 0.782105 0.782045 0.782049 0.782049 0.782050]
