pair_str,config,gpusim_version,jobId,tot_runtime,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,sp_busy,dp_busy,int_busy,tensor_busy,sfu_busy,runtime,instructions,l2_bw,barrier_cycles,inst_empty_cycles,branch_cycles,scoreboard_cycles,stall_sp_cycles,stall_dp_cycles,stall_int_cycles,stall_tensor_cycles,stall_sfu_cycles,stall_mem_cycles,not_selected_cycles,cycles_per_issue,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:3:0_KIDX-NUM_0:3:0_KERNEL,commit_ff67f_modified_0,1057729,377602,3281922,0,1468888,0.9123,0.9990,1013,0,5682014,2220174,1286694,418061,1013230,112560867,3320520,0.000000,0.000000,0.015836,0.000000,0.000000,[[] [377600] [] ],[[] [93505200] [] ],[[] [545.0881] [] ],[[] [8.41] [] ],[[] [5.97] [] ],[[] [0.01] [] ],[[] [259.83] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.09] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.28] [] ],[[] [0.00] [] ],[[] [275.71] [] ],[[] [4571] [] ],[[] [4049] [] ],[[] [13] [] ],[[] [255] [] ],[0.5662 0.5674 0.5663 0.5675 0.5669 0.567 0.566 0.5669 0.5673 0.5666 0.5675 0.5711 0.5661 0.567 0.5666 0.5668 0.5649 0.5664 0.566 0.5653 0.5662 0.5667 0.567 0.5662 0.5671 0.5669 0.5659 0.5651 0.5655 0.566 0.5674 0.5668],[0.556 0.5553 0.5564 0.5578 0.5557 0.5543 0.555 0.5549 0.5564 0.5561 0.5563 0.5633 0.555 0.5549 0.5542 0.5556 0.5547 0.5557 0.5551 0.5556 0.5544 0.5551 0.555 0.5547 0.5556 0.5553 0.5549 0.5541 0.5556 0.5548 0.555 0.5551],[0.057733 0.059570 0.059037 0.056571 0.058853 0.058528 0.060030 0.059639 0.058006 0.059116 0.058739 0.053617 0.059995 0.059459 0.060306 0.059401 0.056974 0.057623 0.057663 0.058805 0.057423 0.056765 0.059840 0.059245 0.057967 0.059873 0.059633 0.058605 0.058926 0.058917 0.059272 0.057900],[6267 7320 5889 6026 6901 7691 6549 7252 6713 6245 6906 4351 6965 7516 7805 6724 6429 6767 6587 5993 7110 6626 7016 6858 7067 6945 6793 6696 5809 6690 7472 7001],[283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535 283535]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:1:0_KIDX-NUM_0:3:0_KERNEL,commit_ccd18_modified_0,1057852,5036525,12980,0,322216103,0.9999,0.6768,0,0,14158092,479416,1404897,8040095,2870128,1222573540,374985600,0.009578,0.000000,0.189166,0.000000,0.000000,[[] [5036523] [] ],[[] [11264876160] [] ],[[] [101.8287] [] ],[[] [0.18] [] ],[[] [0.54] [] ],[[] [0.01] [] ],[[] [33.01] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.04] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.03] [] ],[[] [0.00] [] ],[[] [34.98] [] ],[[] [215] [] ],[[] [28] [] ],[[] [18] [] ],[[] [8] [] ],[0.2066 0.2074 0.2077 0.2063 0.2051 0.2061 0.2066 0.2055 0.2065 0.206 0.2065 0.2046 0.2059 0.2063 0.206 0.2064 0.2062 0.2061 0.2073 0.2058 0.2065 0.2078 0.206 0.2058 0.2054 0.2058 0.2051 0.2047 0.2061 0.2061 0.2053 0.2061],[0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.07279 0.0728 0.0728 0.0728 0.0728 0.0728 0.0728 0.0728 0.07279 0.0728 0.07279 0.07279 0.0728 0.0728 0.0728 0.0728 0.0728],[0.526078 0.530465 0.530343 0.526223 0.525484 0.527687 0.530467 0.526809 0.527757 0.527995 0.529783 0.522525 0.525334 0.526631 0.525819 0.528527 0.527568 0.532465 0.530965 0.526159 0.526582 0.532837 0.527298 0.531201 0.526422 0.527583 0.523218 0.523287 0.526471 0.524684 0.527649 0.527405],[2833734 2838096 2839570 2835310 2831699 2834069 2836831 2832192 2835653 2833347 2837543 2828233 2831933 2834816 2832467 2832935 2833183 2832174 2837675 2833220 2836661 2841720 2834248 2835040 2829886 2833773 2829869 2828984 2833212 2832290 2830739 2833436],[3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843 3781843]
parb_sad-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:2:0_KIDX-NUM_0:3:0_KERNEL,commit_ccd18_modified_0,1057853,1760039,15117027,0,5688404,0.9142,0.9996,938,0,22760709,8927589,605263,2151298,1416627,536714324,11963520,0.000000,0.000000,0.011192,0.000000,0.000000,[[] [1760037] [] ],[[] [355721760] [] ],[[] [468.4469] [] ],[[] [22.63] [] ],[[] [8.46] [] ],[[] [0.01] [] ],[[] [641.45] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.18] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.88] [] ],[[] [0.00] [] ],[[] [674.79] [] ],[[] [11927] [] ],[[] [11361] [] ],[[] [10] [] ],[[] [292] [] ],[0.5282 0.5286 0.5281 0.5277 0.5288 0.5279 0.5286 0.5291 0.5288 0.5282 0.5284 0.5282 0.5281 0.5284 0.5284 0.5286 0.5288 0.5278 0.5283 0.5283 0.5292 0.529 0.5281 0.5286 0.5286 0.5283 0.528 0.5283 0.5285 0.5289 0.5278 0.528],[0.5244 0.5244 0.525 0.5253 0.5245 0.5244 0.5248 0.525 0.5244 0.5247 0.5251 0.5249 0.5245 0.5244 0.5247 0.5248 0.5255 0.5247 0.5242 0.5244 0.5254 0.5249 0.5246 0.5246 0.5251 0.5248 0.5244 0.5245 0.5252 0.525 0.5246 0.5244],[0.047960 0.047455 0.045650 0.045234 0.047090 0.048892 0.048023 0.047623 0.046394 0.047198 0.047404 0.046880 0.046962 0.047399 0.047521 0.048012 0.046602 0.047347 0.047524 0.047768 0.047049 0.046329 0.047135 0.047345 0.046693 0.047729 0.047299 0.047620 0.047854 0.047480 0.046729 0.047697],[12554 13806 10045 7438 13966 11976 12782 13404 14085 12149 11465 11202 11979 13486 12177 12581 10937 10633 13402 12882 12482 13478 11642 12994 11992 11551 12152 12560 10851 12943 10592 11976],[1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584 1321584]
rod_cfd-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:1:0_KIDX-NUM_0:10:0_KERNEL,commit_ff67f_modified_0,1057021,4750,911,0,70280,1.0000,0.9922,0,0,121920,0,37678,277094,722294,193902,157248,0.000000,0.000000,0.051726,0.000000,0.000000,[[] [4748] [] ],[[] [5031936] [] ],[[] [930.1664] [] ],[[] [40.12] [] ],[[] [27.07] [] ],[[] [0.00] [] ],[[] [23.23] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [3.19] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.26] [] ],[[] [0.00] [] ],[[] [103.76] [] ],[[] [717] [] ],[[] [516] [] ],[[] [38] [] ],[[] [8] [] ],[0.05 0.05 -nan -nan -nan -nan -nan -nan -nan -nan 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[0.0005609 0.0005609 0 0 0 0 0 0 0 0 0.002243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 -nan -nan -nan -nan -nan -nan -nan -nan 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[3551 3551 3566 3566 3566 3566 3566 3566 3566 3566 3540 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566],[3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566 3566]
rod_cfd-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:4:0_KIDX-NUM_0:10:0_KERNEL,commit_ff67f_modified_0,1057022,9530,128855,0,104241,1.0000,0.9917,0,0,170784,145152,13649,384677,356065,1531585,290304,0.019832,0.000000,0.035698,0.000000,0.071396,[[] [9528] [] ],[[] [9289728] [] ],[[] [649.2947] [] ],[[] [5.25] [] ],[[] [31.14] [] ],[[] [0.00] [] ],[[] [71.86] [] ],[[] [0.06] [] ],[[] [0.00] [] ],[[] [3.46] [] ],[[] [0.00] [] ],[[] [0.12] [] ],[[] [5.46] [] ],[[] [0.00] [] ],[[] [119.93] [] ],[[] [1161] [] ],[[] [655] [] ],[[] [14] [] ],[[] [29] [] ],[0.8593 0.8646 0.8603 0.8584 0.8704 0.8684 0.8743 0.8797 0.8391 0.856 0.8553 0.8344 0.8551 0.8505 0.86 0.8663 0.8561 0.8559 0.8553 0.8527 0.8608 0.8562 0.87 0.8593 0.8551 0.8682 0.8497 0.8562 0.8448 0.8556 0.8567 0.8451],[0.633 0.6328 0.6328 0.6328 0.6328 0.6328 0.6328 0.6328 0.6333 0.6328 0.6333 0.6339 0.6328 0.6328 0.6328 0.6328 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635 0.635],[0.500221 0.488737 0.465769 0.521422 0.462456 0.462014 0.500000 0.452076 0.470874 0.480786 0.475066 0.474427 0.473057 0.499337 0.462456 0.500000 0.494498 0.488336 0.456426 0.423415 0.453345 0.487676 0.481294 0.458847 0.492958 0.500660 0.469850 0.465009 0.479093 0.449164 0.465009 0.507702],[2048 2092 2066 2061 2107 2051 2104 2150 2014 2038 2051 1935 2023 2017 2055 2094 2057 1998 2096 2015 2061 2048 2102 2086 2031 2101 1978 2015 1943 1964 2095 2019],[7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156 7156]
rod_cfd-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:6:0_KIDX-NUM_0:10:0_KERNEL,commit_ff67f_modified_0,1057024,16827,201535,0,110275,1.0000,0.9955,0,0,388832,266112,56071,260167,300274,3576724,368928,0.006739,0.000000,0.034819,0.000000,0.003370,[[] [16825] [] ],[[] [11805696] [] ],[[] [837.1501] [] ],[[] [7.94] [] ],[[] [24.42] [] ],[[] [0.00] [] ],[[] [109.25] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [1.64] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [3.37] [] ],[[] [0.00] [] ],[[] [148.82] [] ],[[] [820] [] ],[[] [319] [] ],[[] [19] [] ],[[] [87] [] ],[0.8749 0.8785 0.8849 0.8876 0.8817 0.8843 0.8829 0.8784 0.8703 0.8831 0.8862 0.8951 0.8856 0.8804 0.8835 0.8786 0.8727 0.8762 0.8816 0.8799 0.8822 0.8866 0.8818 0.8894 0.8802 0.8711 0.8755 0.8871 0.8809 0.8839 0.8919 0.8803],[0.7736 0.7731 0.7731 0.774 0.7642 0.7661 0.769 0.769 0.7744 0.7734 0.7731 0.7721 0.7718 0.7706 0.7693 0.769 0.7709 0.7712 0.7706 0.7687 0.7769 0.7769 0.775 0.7737 0.7712 0.7715 0.7718 0.7712 0.7747 0.7763 0.7747 0.7756],[0.261436 0.253688 0.260719 0.266505 0.269426 0.251676 0.280388 0.277848 0.272811 0.286044 0.264292 0.265076 0.252998 0.259691 0.265120 0.256839 0.260403 0.248847 0.247581 0.254065 0.267771 0.262365 0.270488 0.261976 0.265906 0.237294 0.261351 0.239742 0.290089 0.266038 0.268908 0.259724],[1567 1599 1694 1677 1794 1760 1758 1680 1510 1646 1678 1817 1704 1661 1757 1698 1593 1654 1669 1682 1547 1608 1600 1771 1638 1509 1604 1759 1620 1614 1781 1604],[12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635 12635]
rod_cfd-1,V100-PAE-CONCURRENT-SEP_RW-MIX_0:5:0_KIDX-NUM_0:10:0_KERNEL,commit_ff67f_modified_0,1057023,79201,70918,0,1176084,0.9569,0.2696,0,0,2249566,2116952,114264,666717,1688319,16864821,2653615,0.062879,0.000000,0.019020,0.000000,0.037701,[[] [79199] [] ],[[] [82766992] [] ],[[] [1028.9054] [] ],[[] [1.26] [] ],[[] [9.01] [] ],[[] [0.02] [] ],[[] [51.19] [] ],[[] [0.27] [] ],[[] [0.00] [] ],[[] [0.07] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.33] [] ],[[] [0.00] [] ],[[] [63.60] [] ],[[] [653] [] ],[[] [367] [] ],[[] [71] [] ],[[] [55] [] ],[0.479 0.4717 0.4774 0.4758 0.468 0.4667 0.4816 0.4789 0.479 0.4791 0.4749 0.4734 0.4789 0.4781 0.4772 0.4796 0.4785 0.4802 0.4808 0.4801 0.4886 0.485 0.48 0.4859 0.4805 0.4801 0.4821 0.4762 0.4739 0.4695 0.4852 0.4781],[0.2843 0.2846 0.2853 0.2844 0.2842 0.2835 0.2844 0.2844 0.2838 0.2837 0.2842 0.2842 0.284 0.2843 0.2841 0.2838 0.2837 0.283 0.2836 0.2835 0.2833 0.2829 0.2832 0.2837 0.2828 0.2831 0.283 0.2831 0.2831 0.2831 0.2828 0.2827],[0.303864 0.295099 0.300543 0.313575 0.317039 0.302026 0.308651 0.292993 0.299436 0.293888 0.302273 0.319119 0.308387 0.305733 0.305748 0.312800 0.309771 0.313030 0.300879 0.317250 0.326377 0.320584 0.303120 0.302214 0.317021 0.306125 0.325833 0.317755 0.301613 0.314765 0.313621 0.313533],[29339 28623 28897 29262 29111 29008 29763 29165 29304 29417 29433 29320 29455 29357 29115 29456 29238 29183 29256 29376 29839 29629 29630 29249 29672 29518 29488 29394 29200 28925 29728 29575],[59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470 59470]
nvd_conv-0,V100-PAE-CONCURRENT-SEP_RW-MIX_0:1:0_KIDX-NUM_0:2:0_KERNEL,commit_ff67f_modified_0,1057009,165838,858767,0,5870390,0.9996,0.8916,0,0,2648220,1461052,144102,35111837,263614,4511127,12751872,0.094473,0.000000,0.019450,0.000000,0.000000,[[] [165836] [] ],[[] [405798912] [] ],[[] [578.4578] [] ],[[] [3.96] [] ],[[] [1.21] [] ],[[] [0.00] [] ],[[] [18.86] [] ],[[] [6.81] [] ],[[] [0.00] [] ],[[] [0.62] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [23.88] [] ],[[] [0.00] [] ],[[] [60.99] [] ],[[] [714] [] ],[[] [362] [] ],[[] [12] [] ],[[] [92] [] ],[0.6279 0.63 0.6272 0.6253 0.6284 0.6285 0.6286 0.6277 0.6279 0.6278 0.6263 0.6277 0.6278 0.6294 0.628 0.6267 0.6274 0.6277 0.6274 0.6283 0.6298 0.6293 0.6272 0.6285 0.6291 0.6282 0.6265 0.6284 0.6275 0.6287 0.6263 0.6269],[0.556 0.5561 0.5563 0.5563 0.556 0.5562 0.556 0.5564 0.5565 0.5564 0.5565 0.5561 0.5564 0.5565 0.5565 0.5565 0.556 0.5559 0.5563 0.5564 0.556 0.556 0.5562 0.5564 0.5563 0.5564 0.5562 0.556 0.5565 0.5565 0.5563 0.5563],[0.225896 0.225082 0.231174 0.233678 0.232858 0.231344 0.230673 0.234565 0.235178 0.226675 0.227543 0.230005 0.231784 0.232295 0.227333 0.233120 0.229728 0.230090 0.232978 0.233190 0.229468 0.230432 0.228882 0.233127 0.231289 0.225226 0.230974 0.228035 0.232046 0.226679 0.223385 0.231568],[17093 17255 17203 16650 17299 17228 17155 17027 17079 16962 16752 16867 16904 17138 17002 16792 17346 16951 16814 17035 17291 17273 16728 17030 16861 16660 16910 17197 17243 17193 16336 16644],[124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525 124525]
nvd_conv-0,V100-PAE-CONCURRENT-SEP_RW-MIX_0:2:0_KIDX-NUM_0:2:0_KERNEL,commit_ff67f_modified_0,1057010,145526,1556677,0,3777475,0.9996,0.8952,0,0,2654194,1467346,33285,14202021,368877,20035389,11494656,0.107659,0.000000,0.039465,0.000000,0.000000,[[] [145524] [] ],[[] [365518848] [] ],[[] [660.6850] [] ],[[] [3.49] [] ],[[] [1.79] [] ],[[] [0.00] [] ],[[] [40.97] [] ],[[] [2.44] [] ],[[] [0.00] [] ],[[] [0.20] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [6.69] [] ],[[] [0.00] [] ],[[] [58.16] [] ],[[] [580] [] ],[[] [81] [] ],[[] [10] [] ],[[] [168] [] ],[0.7191 0.7196 0.7215 0.7225 0.7198 0.7187 0.7178 0.7155 0.721 0.7233 0.7213 0.7202 0.7244 0.7245 0.7247 0.7232 0.7177 0.7178 0.7248 0.7231 0.722 0.7206 0.7204 0.7183 0.7199 0.7189 0.7211 0.7205 0.7235 0.7253 0.7229 0.724],[0.637 0.6372 0.6355 0.6361 0.636 0.6362 0.6366 0.6362 0.6364 0.6366 0.6369 0.6367 0.6381 0.6384 0.6377 0.6374 0.6367 0.6367 0.6366 0.6367 0.6354 0.636 0.6373 0.6371 0.6368 0.6367 0.6374 0.637 0.6381 0.6387 0.6363 0.6368],[0.190633 0.186926 0.189653 0.187475 0.188043 0.192979 0.186320 0.190185 0.180902 0.178025 0.192360 0.188352 0.187198 0.185363 0.179214 0.183190 0.192730 0.191789 0.187368 0.189255 0.187711 0.191350 0.187545 0.186169 0.184801 0.180237 0.184763 0.184667 0.191766 0.188841 0.185057 0.186935],[14801 14888 15486 15724 15389 15175 14939 14570 15603 15695 15315 15234 15634 15454 15711 15590 15049 14925 15847 15635 16100 15633 15322 14945 15439 15103 14981 15208 15714 15513 15750 15886],[109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273 109273]
rod_cfd-0,V100-PAE-CONCURRENT-SEP_RW-MIX_0:1:0_KIDX-NUM_0:10:0_KERNEL,commit_ff67f_modified_0,1057017,3148,920,0,42130,1.0000,0.9846,0,0,61680,0,19104,67116,518430,213058,78936,0.000000,0.000000,0.039180,0.000000,0.000000,[[] [3146] [] ],[[] [2525952] [] ],[[] [710.2023] [] ],[[] [23.53] [] ],[[] [37.02] [] ],[[] [0.00] [] ],[[] [28.68] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [1.46] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [1.56] [] ],[[] [0.00] [] ],[[] [94.89] [] ],[[] [413] [] ],[[] [225] [] ],[[] [24] [] ],[[] [8] [] ],[0.05 0.05 -nan -nan -nan -nan -nan -nan -nan -nan 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[0.000846 0.000846 0 0 0 0 0 0 0 0 0.003384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 1.000000 -nan -nan -nan -nan -nan -nan -nan -nan 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[2349 2349 2364 2364 2364 2364 2364 2364 2364 2364 2338 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364],[2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364 2364]
