pair_str,config,gpusim_version,jobId,tot_runtime,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,l2_rshr_entry_fail,l2_rshr_merge_fail,l2_total_accesses,mem_count,empty_warp,stall_warp,idle_warp,scoreboard_warp,tot_warp_insn,sp_busy,dp_busy,int_busy,tensor_busy,sfu_busy,runtime,instructions,l2_bw,barrier_cycles,inst_empty_cycles,branch_cycles,scoreboard_cycles,stall_sp_cycles,stall_dp_cycles,stall_int_cycles,stall_tensor_cycles,stall_sfu_cycles,stall_mem_cycles,not_selected_cycles,cycles_per_issue,avg_mem_lat,avg_core_to_l2,avg_l2_to_core,avg_mrq_latency,dram_eff,dram_bw,row_buffer_locality,mem_idle,total_cmd
nvd_binomial-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1057004,1442652,11114,0,146612,1.0000,0.0926,0,0,20224,0,101343,47974797,61396963,119317153,228392960,0.364782,0.000000,0.037742,0.000000,0.001009,[[] [1442650] [] ],[[] [6133492736] [] ],[[] [0.5078] [] ],[[] [1.04] [] ],[[] [0.66] [] ],[[] [0.00] [] ],[[] [6.75] [] ],[[] [0.82] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [13.04] [] ],[[] [243] [] ],[[] [55] [] ],[[] [7] [] ],[[] [7] [] ],[0.1446 0.1616 0.1495 0.1667 0.1468 0.1531 0.1667 0.1495 0.1461 0.1569 0.1339 0.1333 0.1495 0.1488 0.1461 0.1624 0.1846 0.1495 0.1356 0.1437 0.1212 0.1818 0.1778 0.1584 0.1379 0.129 0.1404 0.1429 0.1395 0.1446 0.1348 0.1509],[2.216e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.954e-05 2.216e-05 1.477e-05 2.216e-05 2.216e-05 1.477e-05 1.477e-05 1.477e-05 1.477e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05 2.216e-05],[0.750000 0.625000 0.750000 0.656250 0.812500 0.750000 0.625000 0.687500 0.812500 0.625000 0.343750 0.437500 0.781250 0.750000 0.750000 0.781250 0.916667 0.875000 0.750000 0.750000 1.000000 0.875000 0.750000 0.875000 0.500000 0.708333 0.583333 0.500000 0.625000 0.500000 0.583333 0.625000],[1083176 1083160 1083163 1083161 1083164 1083162 1083160 1083163 1083162 1083161 1083109 1083111 1083163 1083163 1083163 1083162 1083201 1083213 1083175 1083175 1083215 1083212 1083214 1083217 1083173 1083175 1083174 1083173 1083175 1083173 1083174 1083172],[1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263 1083263]
rod_hotspot-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1056999,18484,2450,0,70550,0.9981,0.1997,0,0,218184,170504,2663,858241,528549,1308679,3145192,0.021664,0.178488,0.311700,0.000000,0.060019,[[] [18482] [] ],[[] [89989280] [] ],[[] [427.6321] [] ],[[] [4.02] [] ],[[] [5.11] [] ],[[] [0.02] [] ],[[] [11.94] [] ],[[] [0.01] [] ],[[] [0.06] [] ],[[] [1.08] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.92] [] ],[[] [0.00] [] ],[[] [26.11] [] ],[[] [277] [] ],[[] [100] [] ],[[] [14] [] ],[[] [7] [] ],[0.07273 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1356 0.1356 0.1356 -nan -nan 0.1356 0.1356 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[0.0002882 0 0 0 0 0 0 0 0.0005764 0.0005764 0.0005764 0.0005764 0 0 0.0005764 0.0005764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1.000000 -nan -nan -nan -nan -nan -nan -nan 0.625000 0.500000 0.500000 0.625000 -nan -nan 0.500000 0.500000 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan],[13861 13879 13879 13879 13879 13879 13879 13879 13853 13853 13853 13853 13879 13879 13853 13853 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879],[13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879 13879]
parb_spmv-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1056997,58266,310224,0,645270,0.5912,0.7751,0,0,1249444,1219566,30773,742563,346196,15688349,1680259,0.006097,0.000000,0.053691,0.000000,0.000000,[[] [58264] [] ],[[] [52720795] [] ],[[] [776.8066] [] ],[[] [0.85] [] ],[[] [7.37] [] ],[[] [0.02] [] ],[[] [93.74] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [1.84] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [1.63] [] ],[[] [0.00] [] ],[[] [107.29] [] ],[[] [539] [] ],[[] [89] [] ],[[] [13] [] ],[[] [63] [] ],[0.8144 0.8096 0.8045 0.8095 0.8122 0.8151 0.8158 0.8144 0.8148 0.8175 0.8102 0.8097 0.8015 0.8167 0.8152 0.8066 0.8131 0.812 0.8048 0.8187 0.8117 0.8087 0.807 0.8204 0.8088 0.8058 0.8088 0.8114 0.8178 0.8088 0.8181 0.8086],[0.6811 0.6803 0.6808 0.6805 0.6802 0.6815 0.6809 0.6811 0.681 0.682 0.6814 0.6819 0.6807 0.6812 0.6815 0.6812 0.6808 0.6812 0.6812 0.6812 0.6813 0.6821 0.6812 0.6814 0.6809 0.6812 0.6823 0.6814 0.6816 0.682 0.6804 0.6806],[0.223134 0.227010 0.231986 0.228767 0.219746 0.233350 0.224914 0.222688 0.210004 0.213592 0.215790 0.217729 0.222624 0.222474 0.211754 0.216582 0.224520 0.219629 0.230237 0.227442 0.232907 0.232277 0.228008 0.226656 0.225270 0.234287 0.220750 0.228040 0.226763 0.210402 0.228902 0.221910],[9169 9058 8822 8973 9247 9221 9071 9087 9038 9203 8909 9130 8786 9100 8963 8897 9137 8985 8810 9317 8985 8893 8947 9298 9007 8786 8994 9037 9225 8835 9255 8717],[43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751 43751]
rod_hotspot3d-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1057000,43092,238504,0,151943,0.5361,0.8073,0,0,975467,710123,122158,403557,483172,9857597,2605056,0.047526,0.000000,0.094458,0.000000,0.000000,[[] [43090] [] ],[[] [83099648] [] ],[[] [820.0352] [] ],[[] [0.70] [] ],[[] [4.48] [] ],[[] [0.02] [] ],[[] [55.52] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [0.43] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.84] [] ],[[] [0.00] [] ],[[] [63.77] [] ],[[] [524] [] ],[[] [76] [] ],[[] [17] [] ],[[] [134] [] ],[0.7882 0.7841 0.783 0.7923 0.7906 0.784 0.7858 0.7865 0.7744 0.787 0.7861 0.7789 0.7875 0.7884 0.7796 0.7821 0.7868 0.7833 0.7853 0.7802 0.7822 0.7835 0.7915 0.786 0.7872 0.7792 0.7846 0.7919 0.7846 0.7837 0.7801 0.7902],[0.6939 0.6943 0.6933 0.6929 0.6923 0.6915 0.6924 0.6935 0.6938 0.6941 0.6929 0.6949 0.6933 0.6936 0.6936 0.6936 0.6903 0.6902 0.6908 0.6905 0.692 0.6891 0.6908 0.691 0.6904 0.6897 0.6899 0.6915 0.6899 0.6904 0.6897 0.6896],[0.154913 0.153131 0.152530 0.153893 0.144625 0.168544 0.150694 0.145269 0.156065 0.150526 0.139968 0.152424 0.145898 0.151279 0.144791 0.154901 0.152137 0.151810 0.141922 0.156932 0.154646 0.161852 0.138510 0.156505 0.146310 0.146975 0.150148 0.153898 0.156528 0.145023 0.149158 0.145360],[4057 3949 3953 4219 4158 4103 4114 3991 3681 3991 3997 3724 4112 4048 3889 3910 4165 4075 4041 4001 3971 4074 4289 4144 4169 3996 4107 4203 4132 4059 4022 4283],[32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357 32357]
nvd_sobol-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1057008,114294,2417,0,17432,0.9029,0.9729,0,3288,1285204,31844,48002,10539989,464597,2890796,22552800,0.017089,0.000000,0.481519,0.000000,0.000000,[[] [114292] [] ],[[] [690560000] [] ],[[] [407.3358] [] ],[[] [0.68] [] ],[[] [0.98] [] ],[[] [0.03] [] ],[[] [13.48] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [3.69] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.07] [] ],[[] [0.00] [] ],[[] [24.06] [] ],[[] [207] [] ],[[] [34] [] ],[[] [7] [] ],[[] [2] [] ],[0.5432 0.5439 0.5415 0.5449 0.5442 0.5435 0.5424 0.5459 0.5424 0.5407 0.5445 0.5439 0.547 0.5417 0.5394 0.5457 0.5454 0.5439 0.5466 0.5421 0.5459 0.5443 0.5429 0.5437 0.5417 0.5428 0.5441 0.5459 0.5434 0.5407 0.546 0.5446],[0.3837 0.3837 0.3838 0.3838 0.3837 0.3837 0.3837 0.3837 0.3839 0.3838 0.3838 0.3838 0.3837 0.3837 0.3838 0.3837 0.3837 0.3837 0.3837 0.3837 0.3837 0.3837 0.3836 0.3837 0.3836 0.3836 0.3837 0.3837 0.3838 0.3838 0.3837 0.3838],[0.914855 0.915938 0.913350 0.914199 0.915209 0.915816 0.913265 0.914237 0.912827 0.914514 0.914473 0.911165 0.914057 0.916727 0.916566 0.917941 0.915332 0.913634 0.911936 0.910602 0.915696 0.915575 0.910348 0.912785 0.914473 0.912896 0.910844 0.912906 0.913170 0.911472 0.913645 0.913655],[35663 35560 35159 35882 35603 35391 35633 35961 35570 35125 35702 35612 36066 35684 35363 35838 35763 35718 35642 35573 35754 35859 35447 35569 35372 35482 35472 35634 35555 35534 35697 35740],[85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821 85821]
cut_sgemm-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1056991,97341,58217,0,145685,0.9414,0.5466,0,31676,525696,212992,9443,2080093,16223410,5328442,7274496,0.136789,0.000000,0.070351,0.000000,0.000000,[[] [97339] [] ],[[] [228392960] [] ],[[] [195.6339] [] ],[[] [0.30] [] ],[[] [7.87] [] ],[[] [0.00] [] ],[[] [3.30] [] ],[[] [0.53] [] ],[[] [0.00] [] ],[[] [0.03] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.09] [] ],[[] [0.00] [] ],[[] [13.64] [] ],[[] [310] [] ],[[] [103] [] ],[[] [21] [] ],[[] [22] [] ],[0.3695 0.3834 0.3584 0.3667 0.3543 0.3523 0.3798 0.3795 0.3778 0.3748 0.3776 0.3659 0.3644 0.3769 0.37 0.3741 0.3909 0.3825 0.3518 0.3508 0.3432 0.3644 0.3893 0.3831 0.3718 0.3727 0.3691 0.3717 0.3738 0.3677 0.3775 0.3784],[0.03905 0.03905 0.03897 0.03897 0.03886 0.03875 0.03897 0.03897 0.03897 0.03897 0.03886 0.03886 0.03897 0.03897 0.03897 0.03897 0.03875 0.03875 0.03875 0.03875 0.03779 0.03875 0.03875 0.03875 0.03869 0.03864 0.03875 0.03875 0.03875 0.03875 0.03875 0.03875],[0.371951 0.323933 0.325421 0.343798 0.348194 0.327161 0.320827 0.362175 0.405054 0.339204 0.330521 0.309049 0.336907 0.336141 0.333844 0.313936 0.358796 0.364969 0.358796 0.350309 0.335931 0.354167 0.351852 0.314815 0.336687 0.392081 0.311728 0.348765 0.323302 0.338735 0.349537 0.345679],[66704 66837 66598 66746 66498 66471 66818 66963 67022 66790 66850 66677 66721 66901 66473 66616 67027 66857 66517 66466 66435 66736 67108 66898 66754 66814 66766 66860 66855 66780 66825 66807],[73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091 73091]
cut_wmma-2,V100-PAE-CONCURRENT-SEP_RW,commit_ccd18_modified_0,1057851,754940,36706,0,15980648,0.9749,0.1493,0,48799,12288846,11739598,546884,26333696,9388359,124029209,33681408,0.000551,0.000000,0.106494,0.546900,0.000000,[[] [754938] [] ],[[] [1042808832] [] ],[[] [589.6526] [] ],[[] [0.36] [] ],[[] [0.92] [] ],[[] [0.01] [] ],[[] [7.83] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [1.03] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.17] [] ],[[] [0.00] [] ],[[] [11.44] [] ],[[] [516] [] ],[[] [122] [] ],[[] [215] [] ],[[] [18] [] ],[0.2652 0.2651 0.2598 0.2619 0.2622 0.2622 0.2637 0.263 0.2639 0.2647 0.267 0.2675 0.2633 0.264 0.2634 0.2639 0.2656 0.2653 0.2619 0.2608 0.2625 0.2618 0.2633 0.2634 0.2648 0.264 0.2672 0.2673 0.2639 0.2637 0.2638 0.2636],[0.09938 0.09938 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09937 0.09938 0.09937 0.09938 0.09938 0.09937 0.09937 0.09937 0.09938],[0.724684 0.726603 0.729892 0.729648 0.730762 0.732793 0.725339 0.727883 0.739444 0.743059 0.735672 0.736654 0.734936 0.735114 0.738841 0.739310 0.725384 0.727370 0.730361 0.728665 0.732481 0.731008 0.729066 0.724223 0.742012 0.739064 0.735228 0.734849 0.734579 0.733643 0.739400 0.740294],[447837 448251 445898 446812 447329 446896 445950 446255 447978 449499 448081 448196 446892 447615 448057 448321 448253 447540 446881 446294 446746 446739 446401 445757 449318 448094 447996 447939 447391 446769 448142 448120],[566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872 566872]
nvd_interval-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1057007,72731,5242,0,89828,0.6082,0.7369,0,0,278052,0,912560,185519,2324072,7552156,3327613,0.000000,0.247979,0.028627,0.000000,0.255307,[[] [72729] [] ],[[] [97138283] [] ],[[] [138.4888] [] ],[[] [0.13] [] ],[[] [4.96] [] ],[[] [0.11] [] ],[[] [13.44] [] ],[[] [0.00] [] ],[[] [0.06] [] ],[[] [0.01] [] ],[[] [0.00] [] ],[[] [0.02] [] ],[[] [0.02] [] ],[[] [0.00] [] ],[[] [20.02] [] ],[[] [244] [] ],[[] [72] [] ],[[] [9] [] ],[[] [8] [] ],[0.07853 0.09091 0.09091 0.09091 0.1356 0.1356 0.1 0.09353 0.025 -nan 0.025 -nan -nan 0.025 -nan 0.025 0.025 -nan -nan -nan -nan -nan -nan -nan 0.1356 0.1 0.1356 0.1356 -nan -nan -nan -nan],[0.0002747 0.0001648 0.0001648 0.0001648 0.0001465 0.0001465 7.324e-05 0.000238 3.662e-05 0 3.662e-05 0 0 1.831e-05 0 1.831e-05 1.831e-05 0 0 0 0 0 0 0 0.0001465 7.324e-05 0.0001465 0.0001465 0 0 0 0],[0.466667 0.444444 0.444444 0.555556 0.500000 0.500000 0.250000 0.461538 0.000000 -nan 0.000000 -nan -nan 0.000000 -nan 0.000000 0.000000 -nan -nan -nan -nan -nan -nan -nan 0.500000 0.250000 0.500000 0.500000 -nan -nan -nan -nan],[54527 54573 54573 54573 54586 54586 54593 54554 54586 54612 54586 54612 54612 54599 54612 54599 54599 54612 54612 54612 54612 54612 54612 54612 54586 54593 54586 54586 54612 54612 54612 54612],[54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612 54612]
rod_lavamd-0,V100-PAE-CONCURRENT-SEP_RW,commit_ccd18_modified_0,1057849,4706869,77978,0,15283076,0.9672,0.0138,0,0,13765242,4976442,36488,112646967,7648051,674816958,538974080,0.011660,0.577164,0.113737,0.000000,0.000000,[[] [4706867] [] ],[[] [13474724576] [] ],[[] [105.9372] [] ],[[] [0.11] [] ],[[] [0.57] [] ],[[] [0.02] [] ],[[] [15.93] [] ],[[] [0.00] [] ],[[] [0.38] [] ],[[] [0.18] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.04] [] ],[[] [0.00] [] ],[[] [18.78] [] ],[[] [264] [] ],[[] [91] [] ],[[] [8] [] ],[[] [21] [] ],[0.2142 0.2151 0.208 0.2082 0.2108 0.2131 0.2216 0.2114 0.2086 0.2144 0.2072 0.2133 0.2118 0.2145 0.2223 0.2146 0.2026 0.2093 0.2095 0.2136 0.2139 0.2042 0.2067 0.2 0.2084 0.208 0.2129 0.2116 0.2044 0.2102 0.1995 0.1989],[0.00182 0.001832 0.001801 0.001827 0.001846 0.001722 0.001783 0.001793 0.001776 0.001793 0.001852 0.001737 0.001768 0.001719 0.001719 0.001782 0.001717 0.001829 0.001791 0.001734 0.001905 0.001775 0.001842 0.00179 0.001739 0.001827 0.001811 0.001738 0.001816 0.001784 0.001738 0.001822],[0.445759 0.445245 0.425873 0.452809 0.442199 0.462189 0.455485 0.466834 0.462702 0.450377 0.454324 0.470992 0.411765 0.464199 0.446900 0.429557 0.442532 0.437038 0.437081 0.464292 0.476333 0.461369 0.459345 0.421310 0.440321 0.412696 0.443337 0.468707 0.438438 0.452377 0.430658 0.448436],[3518586 3517620 3517311 3517721 3517041 3519536 3519121 3518291 3518738 3518011 3516847 3519276 3517960 3519256 3519952 3518194 3518755 3517534 3517772 3519276 3517084 3517995 3517864 3517045 3518991 3517137 3517352 3519329 3517379 3518828 3518206 3516296],[3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310 3534310]
rod_pathfinder-0,V100-PAE-CONCURRENT-SEP_RW,commit_ff67f_modified_0,1057002,27981,1835,0,90684,1.0000,0.8856,0,0,314225,295764,2079,407157,641111,3092241,4318864,0.000000,0.000000,0.361551,0.000000,0.000000,[[] [27979] [] ],[[] [126061000] [] ],[[] [406.8225] [] ],[[] [1.70] [] ],[[] [2.46] [] ],[[] [0.02] [] ],[[] [15.36] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.22] [] ],[[] [0.00] [] ],[[] [0.00] [] ],[[] [0.21] [] ],[[] [0.00] [] ],[[] [21.73] [] ],[[] [336] [] ],[[] [43] [] ],[[] [8] [] ],[[] [8] [] ],[0.5392 0.5479 0.5483 0.5506 0.549 0.5474 0.5435 0.5442 0.5493 0.5568 0.5439 0.5422 0.5471 0.5346 0.5401 0.5372 0.547 0.5446 0.541 0.5452 0.5479 0.5465 0.5376 0.5443 0.5433 0.5361 0.5457 0.5549 0.5416 0.5476 0.5454 0.5407],[0.39 0.3899 0.3899 0.3899 0.3903 0.3905 0.3903 0.3903 0.3911 0.3911 0.3911 0.3911 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3907 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903],[0.586405 0.565186 0.586060 0.569702 0.591951 0.575207 0.583293 0.591219 0.561344 0.575706 0.581913 0.562683 0.561404 0.577729 0.571272 0.591131 0.596491 0.587354 0.580897 0.605751 0.577851 0.600146 0.592958 0.586623 0.567561 0.591463 0.569756 0.579268 0.573293 0.591707 0.579146 0.613780],[8868 8951 8885 9280 9142 9044 9053 8926 9034 9103 9169 9153 9002 8867 8885 8883 9154 9054 8854 8998 9010 9288 8890 9052 8805 8867 9099 9069 9066 9188 9049 9038],[21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010 21010]
